,name,path,cone
62,563_679fb85ef88d8a1bf9f6ba36bb9ad8777e9ed367f01786747e3abbf14e15329860779bfc738b12fcecdb9e09ac888ee7dcdc8712cb666c17490bae0ecd5cd6b2_66.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/563_679fb85ef88d8a1bf9f6ba36bb9ad8777e9ed367f01786747e3abbf14e15329860779bfc738b12fcecdb9e09ac888ee7dcdc8712cb666c17490bae0ecd5cd6b2_66.jpg,"[[(201.0, 269.76), (202.62, 267.43), (202.16, 249.28), (205.0, 247.0), (207.74, 268.36), (207.98, 270.69), (204.95, 272.08)], [(36.69, 344.5), (41.91, 342.18), (35.54, 286.6), (39.01, 280.81), (54.64, 342.18), (61.01, 344.5), (60.43, 349.71), (47.12, 351.45)]]"
64,565_543c122e8c7f4a34570431dd9ce7a4785df5cc455d50bd2f8dc37066ad609204a822b9729cb6a75d4620c1caa4daa9053dd7bd4e93445fe25b25d9b6ba2b8fc1_39.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/565_543c122e8c7f4a34570431dd9ce7a4785df5cc455d50bd2f8dc37066ad609204a822b9729cb6a75d4620c1caa4daa9053dd7bd4e93445fe25b25d9b6ba2b8fc1_39.jpg,"[[(535.0, 354.0), (532.33, 297.02), (536.96, 295.86), (546.8, 354.34)]]"
65,566_ca6ee41f4db57c7b27160cde699e902fa3be5c9cd6b49c708be26a25f870b88c05c1e0bf7dd8ae7fe6ff618679d58f47a263a38658b491f8d634766391b3ef6c_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/566_ca6ee41f4db57c7b27160cde699e902fa3be5c9cd6b49c708be26a25f870b88c05c1e0bf7dd8ae7fe6ff618679d58f47a263a38658b491f8d634766391b3ef6c_0.jpg,"[[(470.6, 303.31), (472.03, 303.31), (473.95, 268.69), (478.14, 267.01), (481.49, 270.37), (479.56, 303.87)], [(704.24, 398.58), (711.76, 396.84), (722.76, 322.73), (733.19, 318.67), (726.82, 396.84), (731.45, 400.89), (717.55, 404.37)], [(321.97, 395.8), (326.03, 391.17), (330.08, 390.59), (341.08, 307.79), (347.45, 304.89), (352.66, 308.37), (348.03, 392.9), (355.56, 392.32), (361.35, 396.38), (361.35, 403.32), (347.45, 407.38), (325.45, 404.48)]]"
66,567_ca6ee41f4db57c7b27160cde699e902fa3be5c9cd6b49c708be26a25f870b88c05c1e0bf7dd8ae7fe6ff618679d58f47a263a38658b491f8d634766391b3ef6c_26.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/567_ca6ee41f4db57c7b27160cde699e902fa3be5c9cd6b49c708be26a25f870b88c05c1e0bf7dd8ae7fe6ff618679d58f47a263a38658b491f8d634766391b3ef6c_26.jpg,"[[(448.39, 247.77), (448.39, 232.64), (453.51, 232.87), (454.21, 247.53)], [(358.57, 319.89), (363.78, 318.15), (358.57, 266.04), (367.25, 263.15), (372.46, 316.41), (379.99, 318.15), (375.94, 322.78), (367.25, 324.52)]]"
71,572_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_104.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/572_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_104.jpg,"[[(456.48, 382.13), (461.69, 374.61), (475.01, 338.13), (481.95, 338.71), (484.85, 385.03), (490.64, 393.71), (465.16, 395.45)], [(155.39, 370.55), (158.29, 364.18), (155.97, 286.6), (162.34, 284.86), (175.66, 358.97), (180.29, 361.29), (181.45, 370.55)]]"
72,573_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_22.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/573_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_22.jpg,"[[(434.48, 292.97), (433.9, 288.91), (437.37, 289.49), (444.9, 240.28), (449.53, 240.85), (447.79, 286.6), (452.42, 291.23), (452.42, 294.7), (443.74, 295.86)], [(275.25, 412.24), (284.51, 403.56), (292.62, 403.56), (304.78, 295.28), (314.62, 292.39), (311.15, 400.66), (318.67, 407.61), (321.57, 422.08), (294.35, 426.72)]]"
73,574_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_48.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/574_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_48.jpg,"[[(61.01, 387.34), (68.54, 383.29), (58.12, 286.6), (64.49, 286.6), (81.86, 382.71), (94.02, 385.61), (95.75, 394.87), (79.54, 401.82), (66.8, 398.92)], [(111.34, 277.21), (114.14, 274.97), (116.09, 236.72), (120.0, 236.44), (123.07, 276.09), (128.38, 278.04), (128.1, 282.23), (113.86, 282.23)]]"
74,575_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_83.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/575_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_83.jpg,"[[(40.17, 459.14), (50.01, 448.72), (30.33, 323.65), (39.01, 319.6), (72.59, 440.61), (82.44, 438.88), (94.02, 450.46), (84.75, 463.77), (63.91, 468.41)]]"
79,580_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_70.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/580_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_70.jpg,"[[(294.0, 295.0), (296.71, 258.78), (303.41, 257.77), (310.11, 284.91)]]"
96,597_e3b55b811fa0eed8ba5b6db2b4f222c86f1de4032bc223e6f21427a632365a740d397bee92127e32154830ce2c3316ea7ba9405a722aeed40d3eaf85f18829e5_24.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/597_e3b55b811fa0eed8ba5b6db2b4f222c86f1de4032bc223e6f21427a632365a740d397bee92127e32154830ce2c3316ea7ba9405a722aeed40d3eaf85f18829e5_24.jpg,"[[(107.0, 426.0), (110.81, 376.48), (116.12, 376.0), (130.59, 429.07), (117.56, 429.55)]]"
103,604_11268a52c8c44a5684f2c37928993d0824e7cb37a28d61ad1520f07155cde8ef9bf40eca636dee2c2de98b7a1cb7bdd72b6b7e12899d3dafbd3b1d3c34d4616a_23.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/604_11268a52c8c44a5684f2c37928993d0824e7cb37a28d61ad1520f07155cde8ef9bf40eca636dee2c2de98b7a1cb7bdd72b6b7e12899d3dafbd3b1d3c34d4616a_23.jpg,"[[(589.0, 348.0), (587.0, 351.0), (591.45, 351.87), (601.5, 352.43), (605.13, 351.31), (601.23, 332.33), (599.55, 307.2), (594.8, 306.36)], [(435.75, 298.97), (434.62, 301.55), (438.66, 302.04), (444.0, 301.55), (441.73, 292.5), (440.28, 274.73), (437.85, 274.57)]]"
104,605_11268a52c8c44a5684f2c37928993d0824e7cb37a28d61ad1520f07155cde8ef9bf40eca636dee2c2de98b7a1cb7bdd72b6b7e12899d3dafbd3b1d3c34d4616a_30.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/605_11268a52c8c44a5684f2c37928993d0824e7cb37a28d61ad1520f07155cde8ef9bf40eca636dee2c2de98b7a1cb7bdd72b6b7e12899d3dafbd3b1d3c34d4616a_30.jpg,"[[(578.44, 384.1), (595.19, 385.1), (593.52, 348.24), (592.18, 323.45), (585.81, 322.44), (579.45, 358.3)], [(439.48, 293.35), (446.23, 293.58), (445.3, 272.41), (443.2, 272.18)], [(476.01, 323.83), (487.65, 324.53), (484.86, 307.55), (483.93, 285.21), (479.97, 284.74)]]"
105,606_11268a52c8c44a5684f2c37928993d0824e7cb37a28d61ad1520f07155cde8ef9bf40eca636dee2c2de98b7a1cb7bdd72b6b7e12899d3dafbd3b1d3c34d4616a_34.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/606_11268a52c8c44a5684f2c37928993d0824e7cb37a28d61ad1520f07155cde8ef9bf40eca636dee2c2de98b7a1cb7bdd72b6b7e12899d3dafbd3b1d3c34d4616a_34.jpg,"[[(555.92, 380.21), (577.64, 380.21), (571.2, 307.43), (564.37, 306.22)], [(442.77, 296.65), (450.82, 297.86), (448.4, 276.95), (443.58, 276.95)], [(466.3, 315.94), (479.0, 315.0), (474.4, 282.71), (470.21, 282.71)]]"
109,610_9fae835108dcbf7059e9cd100c7f539d68f6d3102d4db7551b1bb37ada341686f4c67d7f4c5daceb5992f482cf1fe6872a6ff44161f95e9046d30d76bac962ed_10.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/610_9fae835108dcbf7059e9cd100c7f539d68f6d3102d4db7551b1bb37ada341686f4c67d7f4c5daceb5992f482cf1fe6872a6ff44161f95e9046d30d76bac962ed_10.jpg,"[[(0.0, 281.0), (9.88, 279.69), (7.07, 257.97), (4.25, 256.37), (1.04, 257.17)]]"
116,617_78bb0924d03db74b1dc2ada4d6d7fe176e2e669c21111224825824165f7c164ce9572f4395ae346660e83c85f16cbe70e3931407edbe12c783bf30e0dabfb820_12.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/617_78bb0924d03db74b1dc2ada4d6d7fe176e2e669c21111224825824165f7c164ce9572f4395ae346660e83c85f16cbe70e3931407edbe12c783bf30e0dabfb820_12.jpg,"[[(504.75, 273.01), (508.94, 273.25), (507.78, 264.4), (505.68, 264.4)]]"
138,639_6885be5a79f2d9de9304e34396b448fe14a56216b5dc25222a8708ff40f9bd82d5d7fa3ad93e335a839f053366c87f46485e0689805032bf8773d4096530899e_69.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/639_6885be5a79f2d9de9304e34396b448fe14a56216b5dc25222a8708ff40f9bd82d5d7fa3ad93e335a839f053366c87f46485e0689805032bf8773d4096530899e_69.jpg,"[[(446.0, 220.0), (451.01, 219.94), (449.28, 207.85), (447.56, 207.85)], [(692.07, 294.59), (688.44, 296.67), (697.94, 300.47), (704.16, 297.88), (699.0, 296.0), (699.84, 275.07), (696.56, 274.72)], [(567.65, 260.9), (570.93, 262.8), (582.34, 262.62), (577.5, 260.03), (576.29, 240.33), (573.01, 239.99), (569.72, 256.75)], [(497.15, 238.61), (508.73, 238.78), (508.21, 236.7), (505.44, 237.57), (504.06, 222.54), (502.33, 221.5)], [(467.77, 227.72), (470.71, 230.31), (478.14, 229.79), (475.38, 227.72), (474.34, 215.28), (472.44, 215.1)]]"
143,644_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/644_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_0.jpg,"[[(214.0, 280.0), (240.3, 281.22), (240.58, 284.28), (213.0, 285.0)], [(271.9, 281.92), (278.91, 281.92), (275.57, 258.2), (273.0, 258.0)]]"
144,645_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_16.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/645_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_16.jpg,"[[(433.63, 283.66), (431.96, 284.33), (431.29, 286.33), (440.98, 285.66), (443.32, 284.66), (442.98, 282.66), (439.64, 282.32), (437.64, 258.27), (433.63, 257.94)]]"
145,646_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_45.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/646_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_45.jpg,"[[(488.76, 434.41), (467.6, 453.17), (499.34, 460.87), (528.2, 435.37), (506.56, 427.2), (503.19, 388.72), (498.38, 335.33), (494.05, 334.85), (492.13, 346.39), (490.69, 350.24)], [(496.86, 255.63), (496.63, 258.87), (500.11, 261.19), (505.67, 260.27), (506.37, 257.02), (502.89, 256.32), (501.26, 236.61), (498.25, 235.45)]]"
148,649_5cdb4cd6aab7565a724615b792562915784a53824f8be86b15f5af6db1b6400ed4f9af7d939ffc81eaf596d7daca6fedd06c72d79b4f8a8a2df511e90117e9f8_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/649_5cdb4cd6aab7565a724615b792562915784a53824f8be86b15f5af6db1b6400ed4f9af7d939ffc81eaf596d7daca6fedd06c72d79b4f8a8a2df511e90117e9f8_0.jpg,"[[(311.65, 441.91), (335.7, 443.58), (352.06, 425.21), (334.69, 424.54), (328.01, 382.79), (320.0, 350.0), (318.0, 350.0), (315.0, 350.0), (321.67, 427.22)], [(764.02, 554.43), (739.57, 558.44), (741.17, 565.66), (781.26, 565.26), (792.88, 507.54), (796.89, 472.27), (798.89, 441.4), (796.49, 439.4), (791.28, 451.42), (784.06, 458.64)], [(615.4, 412.99), (604.58, 413.39), (614.2, 426.61), (636.64, 426.21), (628.22, 418.6), (628.62, 387.33), (627.42, 352.86), (626.22, 348.86), (619.01, 350.46)], [(399.72, 344.52), (395.0, 352.0), (411.0, 351.0), (413.0, 345.0), (407.38, 343.59), (404.13, 309.26), (400.19, 309.03), (396.71, 309.96)], [(429.55, 320.5), (425.84, 321.79), (425.52, 324.53), (441.79, 324.69), (441.95, 321.47), (435.83, 320.02), (433.9, 300.04), (433.09, 295.05), (428.1, 295.21)], [(559.54, 349.65), (554.87, 350.14), (561.15, 355.78), (573.55, 355.61), (568.24, 351.59), (570.82, 319.53), (569.2, 314.7), (564.37, 316.15)], [(614.79, 339.99), (611.09, 342.24), (615.27, 346.76), (623.81, 344.98), (623.97, 342.24), (620.43, 341.12), (620.59, 312.77), (615.92, 312.77)], [(637.5, 317.41), (642.24, 317.41), (641.96, 301.26), (638.62, 300.71)]]"
149,650_5cdb4cd6aab7565a724615b792562915784a53824f8be86b15f5af6db1b6400ed4f9af7d939ffc81eaf596d7daca6fedd06c72d79b4f8a8a2df511e90117e9f8_12.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/650_5cdb4cd6aab7565a724615b792562915784a53824f8be86b15f5af6db1b6400ed4f9af7d939ffc81eaf596d7daca6fedd06c72d79b4f8a8a2df511e90117e9f8_12.jpg,"[[(818.31, 551.37), (844.77, 545.76), (828.33, 526.92), (839.96, 478.82), (847.97, 449.96), (848.37, 444.35), (846.77, 438.34), (837.95, 450.36), (818.31, 504.07), (812.7, 516.9), (792.26, 521.31), (788.65, 524.11)], [(354.0, 399.0), (373.09, 401.02), (382.71, 390.6), (374.29, 387.4), (373.49, 348.12), (372.69, 335.69), (370.28, 332.89), (370.68, 324.47), (368.28, 325.67), (367.08, 332.08), (364.27, 333.29), (362.27, 388.2)], [(552.86, 336.66), (549.13, 338.12), (552.86, 343.51), (561.77, 342.88), (559.49, 337.49), (560.74, 311.57), (560.74, 304.94), (555.97, 305.15)], [(444.07, 310.05), (448.25, 312.56), (453.54, 311.44), (450.48, 308.66), (451.31, 292.79), (449.36, 292.79), (447.97, 305.88)], [(526.52, 305.35), (533.37, 304.73), (531.08, 303.49), (531.5, 285.24), (529.01, 284.62)], [(534.61, 318.21), (537.72, 323.19), (544.15, 322.15), (542.49, 316.55), (542.28, 295.4), (538.34, 295.4), (537.51, 315.51)], [(586.24, 392.86), (602.62, 391.82), (596.2, 383.11), (599.93, 342.47), (598.48, 335.42), (598.48, 328.99), (594.74, 328.37), (588.0, 362.0), (584.58, 379.59), (579.61, 382.7)]]"
150,651_5cdb4cd6aab7565a724615b792562915784a53824f8be86b15f5af6db1b6400ed4f9af7d939ffc81eaf596d7daca6fedd06c72d79b4f8a8a2df511e90117e9f8_23.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/651_5cdb4cd6aab7565a724615b792562915784a53824f8be86b15f5af6db1b6400ed4f9af7d939ffc81eaf596d7daca6fedd06c72d79b4f8a8a2df511e90117e9f8_23.jpg,"[[(272.0, 502.0), (307.41, 507.15), (326.78, 478.76), (307.07, 472.41), (305.74, 441.35), (306.41, 410.28), (306.07, 396.92), (304.07, 392.91), (305.07, 384.23), (303.4, 378.55), (298.39, 378.55), (292.38, 434.0), (291.37, 476.08), (271.0, 499.0)], [(657.0, 488.0), (675.69, 483.77), (678.7, 447.02), (682.04, 420.64), (684.37, 407.61), (692.06, 407.28), (694.73, 434.0), (692.39, 468.74), (690.72, 489.11), (704.0, 512.0), (701.07, 515.83), (675.36, 515.16), (667.01, 505.14)], [(582.67, 377.58), (596.58, 377.39), (590.01, 369.46), (591.36, 351.1), (592.33, 337.37), (592.33, 327.52), (587.11, 327.9), (583.44, 348.2), (580.73, 368.11), (574.93, 370.81)], [(423.06, 336.66), (434.85, 337.43), (439.3, 333.37), (432.92, 331.05), (432.73, 308.24), (432.15, 299.74), (428.86, 300.32), (428.47, 330.86)], [(568.42, 340.14), (580.6, 339.37), (575.18, 335.11), (574.6, 318.88), (573.64, 305.35), (569.0, 305.93), (568.81, 333.76)], [(595.67, 327.96), (593.93, 328.15), (594.32, 331.05), (606.88, 331.63), (606.3, 329.31), (601.09, 328.15), (603.21, 304.19), (597.61, 303.8)], [(445.0, 311.0), (453.02, 310.76), (453.02, 307.86), (449.54, 307.66), (449.93, 288.14), (446.45, 288.34)]]"
