,name,path,sign
63,564_543c122e8c7f4a34570431dd9ce7a4785df5cc455d50bd2f8dc37066ad609204a822b9729cb6a75d4620c1caa4daa9053dd7bd4e93445fe25b25d9b6ba2b8fc1_34.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/564_543c122e8c7f4a34570431dd9ce7a4785df5cc455d50bd2f8dc37066ad609204a822b9729cb6a75d4620c1caa4daa9053dd7bd4e93445fe25b25d9b6ba2b8fc1_34.jpg,"[[(39.0, 267.0), (43.64, 288.33), (59.28, 283.7), (56.38, 262.86)], [(467.0, 235.0), (469.22, 257.65), (496.43, 256.49), (493.53, 234.48)]]"
72,573_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_22.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/573_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_22.jpg,"[[(231.0, 189.0), (245.0, 205.0), (259.15, 193.38), (246.99, 176.58)]]"
75,576_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_14.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/576_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_14.jpg,"[[(478.72, 220.05), (497.54, 242.73), (515.87, 226.8), (500.43, 203.16)], [(439.11, 220.59), (457.06, 220.59), (457.06, 231.01), (441.42, 233.33)]]"
76,577_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_26.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/577_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_26.jpg,"[[(560.7, 144.74), (564.75, 200.9), (685.0, 199.0), (681.71, 143.58)]]"
81,582_613eae71b4869b45ba90a2b538e4a6dc6e23388e16e0c20e00d6cfeef9489a98663886c55e449127f92544564ed5002a99c8045d57b9de82a0e362a4c4d20522_30.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/582_613eae71b4869b45ba90a2b538e4a6dc6e23388e16e0c20e00d6cfeef9489a98663886c55e449127f92544564ed5002a99c8045d57b9de82a0e362a4c4d20522_30.jpg,"[[(572.05, 288.39), (570.89, 253.65), (601.0, 253.07), (601.58, 289.55)]]"
83,584_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_11.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/584_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_11.jpg,"[[(415.0, 241.0), (425.0, 250.0), (434.0, 241.0), (424.64, 233.31)]]"
84,585_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_18.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/585_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_18.jpg,"[[(554.0, 208.0), (581.0, 246.0), (616.0, 211.0), (587.0, 174.0)]]"
85,586_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_3.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/586_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_3.jpg,"[[(573.44, 295.51), (621.5, 355.15), (678.24, 291.46), (631.34, 218.5)]]"
90,591_ce1eb9fd4616c4d8e31b7d2dbb5632adbbd2210ae70fd89ebce15dd71d0850f165e54b5e8ba8c08b67d8fac915e930dc4067aa079df7f14dfefd7de67e6310eb_40.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/591_ce1eb9fd4616c4d8e31b7d2dbb5632adbbd2210ae70fd89ebce15dd71d0850f165e54b5e8ba8c08b67d8fac915e930dc4067aa079df7f14dfefd7de67e6310eb_40.jpg,"[[(386.0, 200.0), (431.0, 240.0), (471.0, 201.0), (426.37, 156.32)]]"
93,594_6362a00b3b932115dfbd1eb60abe38a7df9f9ea296f0d147d9490fe134281db3c98d0a3d43a7273545fde1bdeebf149822d58b7706ad683639751ec67d03fc01_40.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/594_6362a00b3b932115dfbd1eb60abe38a7df9f9ea296f0d147d9490fe134281db3c98d0a3d43a7273545fde1bdeebf149822d58b7706ad683639751ec67d03fc01_40.jpg,"[[(330.0, 394.0), (329.0, 406.0), (348.0, 407.0), (348.0, 395.0)]]"
94,595_6362a00b3b932115dfbd1eb60abe38a7df9f9ea296f0d147d9490fe134281db3c98d0a3d43a7273545fde1bdeebf149822d58b7706ad683639751ec67d03fc01_48.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/595_6362a00b3b932115dfbd1eb60abe38a7df9f9ea296f0d147d9490fe134281db3c98d0a3d43a7273545fde1bdeebf149822d58b7706ad683639751ec67d03fc01_48.jpg,"[[(81.0, 386.0), (80.0, 402.0), (102.0, 402.0), (104.0, 387.0)], [(103.18, 380.48), (101.0, 411.0), (138.89, 412.33), (140.34, 380.0)]]"
99,600_7a1ff0af1a5800f916bb24e2af61296a7100fbf699a198df308b49fbd849d8c4984df4f35a7b9dc65d73c92ef045e8201347652fb6bd7367f5aebf62d7c68315_18.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/600_7a1ff0af1a5800f916bb24e2af61296a7100fbf699a198df308b49fbd849d8c4984df4f35a7b9dc65d73c92ef045e8201347652fb6bd7367f5aebf62d7c68315_18.jpg,"[[(206.0, 331.0), (242.0, 359.0), (270.0, 327.0), (232.98, 300.49)], [(550.0, 338.0), (571.0, 360.0), (590.81, 340.44), (572.28, 314.97)]]"
103,604_11268a52c8c44a5684f2c37928993d0824e7cb37a28d61ad1520f07155cde8ef9bf40eca636dee2c2de98b7a1cb7bdd72b6b7e12899d3dafbd3b1d3c34d4616a_23.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/604_11268a52c8c44a5684f2c37928993d0824e7cb37a28d61ad1520f07155cde8ef9bf40eca636dee2c2de98b7a1cb7bdd72b6b7e12899d3dafbd3b1d3c34d4616a_23.jpg,"[[(590.89, 221.19), (603.46, 210.58), (608.21, 208.63), (611.56, 209.47), (618.26, 222.03), (619.65, 225.66), (618.26, 228.17), (608.76, 239.06), (606.81, 240.46), (603.18, 239.9)]]"
108,609_9fae835108dcbf7059e9cd100c7f539d68f6d3102d4db7551b1bb37ada341686f4c67d7f4c5daceb5992f482cf1fe6872a6ff44161f95e9046d30d76bac962ed_1.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/609_9fae835108dcbf7059e9cd100c7f539d68f6d3102d4db7551b1bb37ada341686f4c67d7f4c5daceb5992f482cf1fe6872a6ff44161f95e9046d30d76bac962ed_1.jpg,"[[(224.0, 223.0), (223.0, 220.0), (224.17, 216.83), (234.35, 206.65), (240.97, 200.19), (243.72, 198.09), (246.63, 199.54), (253.25, 206.65), (262.79, 217.8), (263.92, 220.06), (263.27, 222.16), (256.16, 229.43), (247.0, 238.0), (243.0, 239.0), (240.0, 238.81)]]"
112,613_41203bebfe2e9e2692024f2e6778884065c7609cace830abd6bd37c9a828d722b3aadeec07a7b0cd969ea6d19eb6f6c4583ccc72439cbe2ea3cf4eafec3ec3b0_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/613_41203bebfe2e9e2692024f2e6778884065c7609cace830abd6bd37c9a828d722b3aadeec07a7b0cd969ea6d19eb6f6c4583ccc72439cbe2ea3cf4eafec3ec3b0_0.jpg,"[[(182.82, 113.78), (190.06, 103.73), (199.31, 110.57), (192.07, 121.42)], [(384.0, 102.0), (387.25, 97.06), (391.0, 101.0), (388.0, 105.0)], [(75.42, 139.36), (79.85, 131.31), (84.67, 136.54), (80.65, 144.99)]]"
113,614_41203bebfe2e9e2692024f2e6778884065c7609cace830abd6bd37c9a828d722b3aadeec07a7b0cd969ea6d19eb6f6c4583ccc72439cbe2ea3cf4eafec3ec3b0_13.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/614_41203bebfe2e9e2692024f2e6778884065c7609cace830abd6bd37c9a828d722b3aadeec07a7b0cd969ea6d19eb6f6c4583ccc72439cbe2ea3cf4eafec3ec3b0_13.jpg,"[[(421.65, 97.06), (421.32, 96.09), (421.81, 94.31), (426.82, 90.11), (428.43, 89.79), (429.57, 90.76), (433.28, 95.6), (433.28, 96.57), (433.28, 97.38), (430.05, 100.94), (428.92, 102.07), (427.14, 101.75)]]"
114,615_41203bebfe2e9e2692024f2e6778884065c7609cace830abd6bd37c9a828d722b3aadeec07a7b0cd969ea6d19eb6f6c4583ccc72439cbe2ea3cf4eafec3ec3b0_52.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/615_41203bebfe2e9e2692024f2e6778884065c7609cace830abd6bd37c9a828d722b3aadeec07a7b0cd969ea6d19eb6f6c4583ccc72439cbe2ea3cf4eafec3ec3b0_52.jpg,"[[(545.0, 100.0), (559.68, 82.86), (579.0, 104.0), (564.0, 122.0)], [(422.63, 98.84), (427.47, 94.57), (433.0, 99.0), (428.64, 104.46)], [(315.0, 103.0), (319.27, 98.64), (323.73, 101.94), (320.0, 107.0)], [(303.0, 102.0), (306.67, 98.25), (310.35, 100.0), (309.77, 103.1), (306.09, 106.4)]]"
126,627_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_24.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/627_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_24.jpg,"[[(271.48, 196.62), (275.0, 192.0), (278.72, 188.15), (280.49, 188.42), (285.68, 192.93), (287.05, 194.71), (286.37, 196.48), (282.0, 203.18), (280.0, 205.0), (278.44, 204.0)], [(358.0, 196.0), (361.93, 191.59), (364.73, 191.79), (367.43, 194.69), (367.83, 196.59), (365.0, 201.0), (363.0, 201.0)], [(648.0, 178.0), (653.08, 167.31), (661.49, 178.54), (656.0, 190.0)]]"
127,628_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_32.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/628_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_32.jpg,"[[(581.95, 174.74), (581.95, 173.76), (586.09, 167.92), (588.04, 168.16), (592.18, 174.5), (592.0, 176.0), (590.0, 181.0), (587.8, 180.83)], [(448.28, 174.19), (447.93, 172.08), (469.0, 148.0), (473.0, 148.0), (497.0, 171.0), (497.39, 175.24), (476.69, 200.14), (474.0, 200.0)]]"
128,629_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_48.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/629_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_48.jpg,"[[(105.34, 176.73), (105.35, 173.33), (128.12, 132.88), (131.18, 132.54), (152.93, 160.07), (152.59, 164.49), (128.8, 205.28), (124.72, 206.3)], [(419.56, 190.52), (420.05, 189.1), (424.75, 182.49), (426.4, 182.26), (433.27, 188.63), (433.01, 190.75), (427.84, 196.89), (425.95, 196.65)]]"
129,630_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_6.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/630_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_6.jpg,"[[(281.17, 196.91), (284.78, 193.47), (288.38, 197.08), (284.78, 199.86)]]"
136,637_6885be5a79f2d9de9304e34396b448fe14a56216b5dc25222a8708ff40f9bd82d5d7fa3ad93e335a839f053366c87f46485e0689805032bf8773d4096530899e_24.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/637_6885be5a79f2d9de9304e34396b448fe14a56216b5dc25222a8708ff40f9bd82d5d7fa3ad93e335a839f053366c87f46485e0689805032bf8773d4096530899e_24.jpg,"[[(398.4, 187.7), (396.0, 186.0), (398.7, 183.4), (401.1, 181.0), (401.9, 181.0), (406.2, 184.7), (406.8, 186.0), (405.5, 187.8)]]"
137,638_6885be5a79f2d9de9304e34396b448fe14a56216b5dc25222a8708ff40f9bd82d5d7fa3ad93e335a839f053366c87f46485e0689805032bf8773d4096530899e_31.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/638_6885be5a79f2d9de9304e34396b448fe14a56216b5dc25222a8708ff40f9bd82d5d7fa3ad93e335a839f053366c87f46485e0689805032bf8773d4096530899e_31.jpg,"[[(595.28, 239.77), (595.28, 237.19), (613.0, 218.0), (619.01, 218.61), (626.75, 227.9), (633.0, 238.0), (635.0, 241.0), (618.5, 257.31), (610.76, 257.83)]]"
140,641_e8a6b9c0290fa5ab353ae603be8b83b22b8716e92f50d2bac406247a1b7c9dbd1002164e100ce4707ecd207ffb74881010706138167182e1ca6d9c9ca0cf51cf_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/641_e8a6b9c0290fa5ab353ae603be8b83b22b8716e92f50d2bac406247a1b7c9dbd1002164e100ce4707ecd207ffb74881010706138167182e1ca6d9c9ca0cf51cf_0.jpg,"[[(137.0, 267.0), (161.4, 264.22), (163.62, 301.49), (137.0, 303.0)], [(109.0, 239.0), (109.0, 236.0), (123.1, 209.66), (133.0, 192.0), (137.0, 192.0), (160.39, 221.07), (160.0, 226.0), (136.46, 268.95), (133.95, 268.95)], [(384.35, 212.97), (412.0, 212.0), (414.0, 241.0), (386.0, 242.0)], [(609.0, 202.0), (632.35, 201.59), (633.19, 225.53), (611.0, 226.0)]]"
141,642_e8a6b9c0290fa5ab353ae603be8b83b22b8716e92f50d2bac406247a1b7c9dbd1002164e100ce4707ecd207ffb74881010706138167182e1ca6d9c9ca0cf51cf_24.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/642_e8a6b9c0290fa5ab353ae603be8b83b22b8716e92f50d2bac406247a1b7c9dbd1002164e100ce4707ecd207ffb74881010706138167182e1ca6d9c9ca0cf51cf_24.jpg,"[[(548.0, 222.0), (553.49, 217.6), (556.78, 220.89), (554.0, 227.0)], [(639.0, 225.0), (644.01, 220.69), (649.62, 225.91), (643.0, 233.0)]]"
142,643_e8a6b9c0290fa5ab353ae603be8b83b22b8716e92f50d2bac406247a1b7c9dbd1002164e100ce4707ecd207ffb74881010706138167182e1ca6d9c9ca0cf51cf_46.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/643_e8a6b9c0290fa5ab353ae603be8b83b22b8716e92f50d2bac406247a1b7c9dbd1002164e100ce4707ecd207ffb74881010706138167182e1ca6d9c9ca0cf51cf_46.jpg,"[[(614.0, 249.0), (623.28, 249.05), (622.0, 256.0), (613.0, 256.0)], [(614.93, 240.42), (614.65, 239.31), (621.89, 232.35), (624.95, 232.62), (631.35, 240.42), (631.35, 241.53), (625.23, 248.77), (622.0, 250.0)], [(428.16, 245.43), (438.18, 245.15), (437.9, 253.22), (428.0, 253.0)], [(415.0, 233.0), (423.43, 223.16), (427.33, 223.16), (436.51, 232.62), (437.63, 235.41), (428.72, 245.71), (426.77, 245.71)]]"
143,644_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/644_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_0.jpg,"[[(440.0, 232.0), (456.71, 232.09), (457.0, 241.0), (441.0, 241.0)], [(183.0, 303.0), (243.95, 303.67), (244.35, 345.35), (180.0, 340.0)]]"
146,647_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_6.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/647_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_6.jpg,"[[(235.02, 301.96), (237.03, 298.35), (294.75, 295.15), (298.75, 299.15), (299.96, 330.02), (298.75, 333.62), (237.83, 334.43), (234.22, 332.02)]]"
153,654_3e0618c9b6bb17a68b3d3ccc0f89190d497968c4f5d656c8b5ade36708025bdd811e397e2d760b2ab5a311c289650c87f81f096f19b1810addb0184bc7f99e44_21.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/654_3e0618c9b6bb17a68b3d3ccc0f89190d497968c4f5d656c8b5ade36708025bdd811e397e2d760b2ab5a311c289650c87f81f096f19b1810addb0184bc7f99e44_21.jpg,"[[(557.92, 190.17), (569.27, 178.14), (572.28, 177.81), (582.97, 189.83), (582.97, 192.84), (573.0, 205.0), (569.27, 205.53)]]"
156,657_535321841b53df9fc7227256aefeac339e8d237b127c301365b6af7a01440f192ed114109208c4630868b5b7953f467b9f8088413fdfb466957dfa89612ed6dc_69.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/657_535321841b53df9fc7227256aefeac339e8d237b127c301365b6af7a01440f192ed114109208c4630868b5b7953f467b9f8088413fdfb466957dfa89612ed6dc_69.jpg,"[[(599.33, 148.08), (598.67, 142.07), (624.39, 120.36), (628.73, 119.69), (654.45, 149.42), (654.45, 155.43), (628.06, 175.14), (623.05, 175.14)]]"
173,674_2811ec5efe80a819aed4a7a35f5478e9c7d52f3c742ef74d55a9d330b8dd4e043e908efe43639c049331a568c48de620ba10d908db59a47a8e7655360bef7871_44.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/674_2811ec5efe80a819aed4a7a35f5478e9c7d52f3c742ef74d55a9d330b8dd4e043e908efe43639c049331a568c48de620ba10d908db59a47a8e7655360bef7871_44.jpg,"[[(389.51, 260.01), (388.15, 257.97), (402.77, 240.29), (416.03, 224.65), (418.07, 224.99), (449.68, 250.15), (449.68, 255.25), (425.54, 287.54), (420.0, 288.0)]]"
180,681_6c1b7c5658d044a46657c0deaf687d8a7a3f95d25ff021cea28dbb3a2b74cd2799aeb878a751fd37d30f44534c0e8a9665774d3eb771f9238ed1df64b73cec15_29.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/681_6c1b7c5658d044a46657c0deaf687d8a7a3f95d25ff021cea28dbb3a2b74cd2799aeb878a751fd37d30f44534c0e8a9665774d3eb771f9238ed1df64b73cec15_29.jpg,"[[(55.43, 380.16), (61.11, 379.82), (67.12, 360.11), (67.12, 354.77), (56.43, 336.73), (53.42, 336.73), (42.74, 357.11), (42.74, 360.78)], [(536.0, 354.76), (535.03, 349.95), (568.7, 318.69), (573.03, 318.69), (603.33, 348.99), (603.33, 356.21), (574.0, 385.0), (567.0, 386.0)]]"
181,682_6c1b7c5658d044a46657c0deaf687d8a7a3f95d25ff021cea28dbb3a2b74cd2799aeb878a751fd37d30f44534c0e8a9665774d3eb771f9238ed1df64b73cec15_77.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/682_6c1b7c5658d044a46657c0deaf687d8a7a3f95d25ff021cea28dbb3a2b74cd2799aeb878a751fd37d30f44534c0e8a9665774d3eb771f9238ed1df64b73cec15_77.jpg,"[[(545.32, 336.45), (544.92, 333.25), (558.95, 319.22), (562.55, 318.02), (576.18, 330.04), (576.18, 333.65), (563.76, 347.68), (558.95, 347.68)], [(216.0, 367.0), (220.0, 368.0), (229.52, 357.38), (229.92, 354.17), (220.3, 340.94), (217.09, 340.54), (206.27, 351.76), (206.27, 355.37)]]"
