,name,path,person
206,707_b7e48c8e5424c1c15190c6e61848cd1a36a221f757f75f38f2863c943f1693bb65a50c976ad33618a9a239ad79cc7e30439b0c01b9abe8e97e9fbbf6070406b8_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/707_b7e48c8e5424c1c15190c6e61848cd1a36a221f757f75f38f2863c943f1693bb65a50c976ad33618a9a239ad79cc7e30439b0c01b9abe8e97e9fbbf6070406b8_0.jpg,"[[(235.7, 228.28), (238.14, 229.9), (240.58, 231.73), (242.2, 232.95), (244.03, 235.19), (244.0, 240.0), (244.0, 247.0), (241.39, 249.42), (242.0, 251.86), (239.97, 253.08), (239.97, 259.18), (239.97, 263.05), (238.14, 264.47), (233.46, 264.47), (228.78, 264.27), (228.38, 259.18), (231.83, 256.13), (230.82, 248.41), (230.41, 244.54), (231.02, 238.44), (231.43, 235.19), (231.63, 230.92), (232.65, 228.68)]]"
215,716_2b285c77f2d29c120a3e3dd47046c9f7edbd9b5eae8b95bf529834f50c0b99c9e52ed2d1ef346224500c8496b5ec7b79a8e292a033b538c8eb575582b461be60_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/716_2b285c77f2d29c120a3e3dd47046c9f7edbd9b5eae8b95bf529834f50c0b99c9e52ed2d1ef346224500c8496b5ec7b79a8e292a033b538c8eb575582b461be60_0.jpg,"[[(352.0, 161.0), (353.0, 164.0), (353.0, 167.0), (353.0, 171.0), (350.37, 172.81), (349.0, 173.0), (348.47, 170.22), (348.47, 165.9), (348.47, 162.79), (349.52, 160.89), (351.06, 160.2)], [(516.29, 176.21), (519.16, 178.36), (519.52, 182.3), (520.59, 190.19), (518.08, 192.34), (509.84, 193.05), (505.9, 191.98), (505.9, 188.4), (504.83, 180.87), (505.18, 176.93), (507.33, 174.78), (509.0, 170.0), (515.22, 169.4), (515.93, 171.91)]]"
216,717_2b285c77f2d29c120a3e3dd47046c9f7edbd9b5eae8b95bf529834f50c0b99c9e52ed2d1ef346224500c8496b5ec7b79a8e292a033b538c8eb575582b461be60_10.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/717_2b285c77f2d29c120a3e3dd47046c9f7edbd9b5eae8b95bf529834f50c0b99c9e52ed2d1ef346224500c8496b5ec7b79a8e292a033b538c8eb575582b461be60_10.jpg,"[[(413.0, 175.0), (413.61, 176.88), (414.95, 178.47), (413.73, 179.93), (413.36, 185.06), (413.36, 191.04), (409.7, 190.79), (409.58, 184.08), (409.21, 181.52), (408.73, 179.81), (408.24, 178.1), (409.58, 176.51), (410.07, 175.41), (411.0, 174.0), (412.0, 174.0)], [(383.54, 175.3), (386.0, 177.0), (386.0, 181.28), (384.24, 184.09), (383.71, 186.9), (384.06, 189.89), (380.37, 189.89), (380.55, 185.32), (381.08, 180.93), (380.55, 177.06), (380.9, 175.3)], [(376.68, 172.49), (377.74, 175.3), (378.26, 177.76), (377.56, 181.45), (377.03, 189.19), (375.1, 190.07), (372.29, 189.36), (371.58, 183.56), (371.06, 178.29), (372.0, 177.0), (372.99, 174.77), (373.87, 172.31)]]"
217,718_2b285c77f2d29c120a3e3dd47046c9f7edbd9b5eae8b95bf529834f50c0b99c9e52ed2d1ef346224500c8496b5ec7b79a8e292a033b538c8eb575582b461be60_25.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/718_2b285c77f2d29c120a3e3dd47046c9f7edbd9b5eae8b95bf529834f50c0b99c9e52ed2d1ef346224500c8496b5ec7b79a8e292a033b538c8eb575582b461be60_25.jpg,"[[(480.0, 182.21), (479.83, 181.0), (481.56, 180.49), (484.0, 181.0), (486.0, 182.0), (485.0, 186.0), (485.88, 187.57), (485.88, 198.63), (485.53, 205.2), (485.18, 209.86), (484.49, 213.66), (484.15, 218.68), (486.05, 220.92), (484.15, 221.27), (480.35, 220.4), (481.04, 208.13), (482.25, 192.58), (481.56, 190.16), (481.38, 184.46)], [(481.0, 185.0), (481.04, 189.3), (482.25, 191.72), (482.25, 195.52), (481.38, 204.68), (480.17, 220.06), (481.73, 221.27), (481.56, 222.82), (476.89, 223.17), (472.74, 221.27), (472.4, 213.84), (473.26, 203.64), (472.74, 198.46), (472.92, 195.17), (472.92, 191.03), (473.26, 188.95), (474.99, 187.4), (476.89, 187.05), (477.06, 183.42), (477.93, 182.56), (480.0, 183.0)], [(503.67, 187.74), (503.5, 190.51), (505.92, 193.27), (506.27, 196.9), (505.75, 200.36), (502.98, 203.64), (502.64, 217.47), (502.64, 222.13), (500.74, 223.51), (498.14, 223.34), (495.55, 223.0), (491.75, 222.13), (492.96, 220.4), (494.86, 219.54), (494.52, 203.64), (496.24, 198.28), (494.86, 194.83), (495.9, 191.89), (498.32, 191.03), (499.18, 191.03), (498.66, 187.92), (499.18, 186.88), (502.12, 186.53)], [(532.89, 183.92), (533.24, 187.21), (536.52, 188.76), (538.0, 192.0), (535.31, 195.33), (535.83, 199.3), (534.8, 207.25), (534.8, 213.13), (532.38, 213.65), (530.65, 211.92), (528.57, 211.92), (526.16, 211.4), (524.95, 208.98), (527.19, 207.77), (527.71, 198.27), (527.71, 194.81), (526.16, 190.15), (528.06, 189.45), (530.13, 188.07), (529.09, 183.93)]]"
218,719_2b285c77f2d29c120a3e3dd47046c9f7edbd9b5eae8b95bf529834f50c0b99c9e52ed2d1ef346224500c8496b5ec7b79a8e292a033b538c8eb575582b461be60_66.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/719_2b285c77f2d29c120a3e3dd47046c9f7edbd9b5eae8b95bf529834f50c0b99c9e52ed2d1ef346224500c8496b5ec7b79a8e292a033b538c8eb575582b461be60_66.jpg,"[[(468.0, 185.0), (469.05, 188.5), (472.59, 190.53), (472.34, 199.13), (470.82, 202.68), (471.58, 215.58), (467.78, 216.09), (462.72, 214.32), (465.0, 213.31), (465.0, 201.66), (462.97, 199.89), (461.71, 194.83), (461.71, 192.55), (463.73, 190.27), (462.97, 185.72), (465.0, 183.44)], [(488.29, 202.97), (486.24, 209.27), (484.63, 212.49), (484.78, 216.89), (480.24, 217.18), (479.06, 211.91), (481.12, 204.73), (478.19, 202.53), (475.55, 201.95), (475.0, 200.0), (472.0, 197.0), (475.0, 193.0), (478.92, 194.63), (484.48, 197.12), (488.0, 200.78)]]"
222,723_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf016_21.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/723_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf016_21.jpg,"[[(289.16, 327.75), (284.82, 321.54), (285.44, 314.1), (283.58, 310.38), (276.13, 309.76), (272.41, 317.82), (271.79, 327.75), (276.13, 332.09)]]"
223,724_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf016_24.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/724_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf016_24.jpg,"[[(172.0, 319.0), (172.0, 324.0), (168.72, 327.43), (168.97, 330.43), (174.45, 331.42), (176.2, 338.16), (173.21, 339.9), (160.0, 340.0), (159.49, 331.67), (159.49, 328.18), (161.99, 328.18), (160.0, 324.0), (159.74, 319.46), (161.99, 317.21), (165.48, 315.97), (168.47, 315.97)]]"
237,738_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf027_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/738_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf027_0.jpg,"[[(306.95, 308.75), (300.37, 308.75), (298.87, 313.53), (292.29, 317.42), (289.0, 323.41), (285.41, 328.49), (284.21, 335.07), (287.8, 347.64), (288.1, 354.52), (290.5, 357.81), (304.86, 357.21), (306.65, 340.76), (310.84, 336.57), (311.74, 331.48), (307.25, 328.19), (304.86, 318.32), (307.55, 312.64)], [(250.0, 294.0), (253.0, 305.0), (248.39, 313.03), (253.52, 315.59), (256.08, 329.5), (257.91, 341.58), (253.52, 352.19), (252.79, 354.39), (224.24, 354.76), (223.14, 344.87), (223.51, 321.08), (230.46, 312.66), (234.12, 309.0), (233.75, 301.68), (238.0, 297.0), (243.27, 293.63)], [(1201.18, 335.14), (1204.19, 344.18), (1205.49, 352.8), (1205.49, 357.97), (1207.64, 370.03), (1205.49, 379.08), (1199.45, 392.0), (1201.61, 410.96), (1204.19, 426.9), (1202.47, 445.86), (1202.9, 463.52), (1194.72, 462.23), (1173.6, 451.46), (1174.04, 429.92), (1174.9, 414.84), (1174.04, 380.37), (1171.45, 364.43), (1171.88, 357.11), (1178.34, 354.09), (1188.68, 350.65), (1188.68, 342.89), (1188.68, 335.57), (1193.42, 332.12)]]"
238,739_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf027_1.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/739_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf027_1.jpg,"[[(1264.16, 341.03), (1258.77, 341.63), (1253.39, 347.01), (1251.59, 352.4), (1251.59, 358.08), (1256.98, 360.18), (1253.39, 363.47), (1246.21, 364.96), (1241.42, 371.84), (1236.63, 382.91), (1231.25, 392.49), (1233.34, 394.58), (1243.21, 389.5), (1240.22, 396.97), (1236.93, 404.75), (1237.23, 420.01), (1236.63, 428.39), (1234.24, 436.47), (1238.43, 443.35), (1242.91, 445.74), (1247.7, 443.95), (1248.9, 452.32), (1247.4, 460.1), (1247.4, 471.47), (1248.6, 478.65), (1256.68, 479.85), (1262.96, 477.16), (1261.76, 470.27), (1260.27, 464.59), (1259.07, 456.21), (1263.56, 444.25), (1269.54, 453.22), (1271.94, 436.17), (1270.44, 427.49), (1270.74, 417.62), (1272.53, 409.24), (1272.53, 399.97), (1275.23, 391.59), (1277.32, 382.32), (1279.42, 382.91), (1280.0, 365.26), (1277.32, 364.06), (1272.83, 361.97), (1274.33, 356.29), (1274.33, 352.1), (1274.33, 348.81), (1272.53, 345.52), (1268.35, 341.63)], [(209.46, 293.66), (211.98, 299.4), (213.77, 304.07), (216.29, 307.66), (214.85, 318.07), (217.36, 325.97), (219.88, 340.29), (222.75, 345.71), (214.49, 348.94), (216.65, 360.04), (216.65, 364.74), (189.36, 363.3), (187.21, 348.19), (182.9, 339.61), (182.54, 317.35), (187.56, 311.61), (191.16, 305.14), (194.39, 297.93), (196.9, 294.37), (201.21, 291.86)], [(272.56, 296.57), (278.04, 296.82), (283.03, 299.06), (283.03, 305.05), (282.53, 310.03), (279.79, 314.02), (276.8, 317.26), (280.54, 318.26), (280.79, 323.99), (283.03, 333.47), (281.54, 342.94), (281.29, 351.67), (280.54, 357.65), (278.54, 361.64), (253.36, 362.14), (253.61, 354.16), (251.87, 347.93), (252.0, 341.0), (251.0, 329.0), (252.36, 322.0), (259.35, 316.27), (267.07, 312.53), (267.57, 308.54), (267.57, 304.05), (267.82, 300.31)]]"
259,760_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf034_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/760_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf034_0.jpg,"[[(352.75, 309.36), (355.44, 313.54), (355.14, 321.9), (354.54, 331.16), (356.33, 342.21), (352.45, 342.51), (345.88, 341.01), (345.88, 333.85), (344.99, 322.2), (344.99, 312.95), (345.58, 308.17), (350.36, 306.68)], [(337.0, 304.0), (339.0, 307.0), (340.64, 311.16), (343.75, 315.13), (341.5, 317.55), (341.5, 325.15), (342.54, 332.24), (342.37, 338.11), (338.74, 338.98), (333.9, 338.11), (334.07, 329.99), (332.52, 324.81), (332.34, 320.83), (331.48, 312.19), (333.0, 309.0), (332.52, 305.63), (334.76, 304.07)]]"
260,761_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf034_13.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/761_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf034_13.jpg,"[[(1089.0, 294.0), (1093.27, 298.82), (1092.38, 303.6), (1100.44, 308.38), (1104.32, 316.14), (1105.0, 326.0), (1102.23, 336.74), (1102.23, 346.9), (1112.98, 357.65), (1113.88, 363.62), (1109.7, 371.08), (1104.02, 371.08), (1086.7, 371.08), (1088.5, 359.74), (1086.11, 354.96), (1081.03, 345.4), (1077.45, 338.24), (1081.93, 329.58), (1083.12, 315.84), (1082.82, 305.09), (1081.03, 301.81), (1080.43, 295.84), (1083.72, 293.45)]]"
263,764_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf034_6.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/764_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf034_6.jpg,"[[(104.0, 314.0), (107.33, 316.14), (108.53, 320.02), (113.0, 323.01), (113.3, 334.06), (112.41, 345.11), (113.3, 351.97), (113.9, 362.42), (104.05, 363.92), (100.17, 362.42), (102.26, 355.86), (101.0, 344.0), (102.26, 334.06), (103.15, 325.4), (100.76, 323.31), (99.87, 316.74)], [(93.01, 312.63), (93.76, 317.11), (96.99, 318.85), (98.73, 322.58), (99.73, 336.76), (97.24, 339.75), (96.49, 350.7), (95.99, 360.4), (87.29, 360.15), (86.54, 354.93), (85.79, 348.46), (85.79, 339.25), (85.54, 332.53), (84.8, 325.82), (84.8, 320.09), (86.79, 316.86), (85.54, 313.62), (86.54, 311.13), (90.27, 309.89)]]"
267,768_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf036_77.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/768_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf036_77.jpg,"[[(188.52, 308.79), (185.93, 309.31), (185.24, 311.21), (182.47, 312.42), (180.92, 316.91), (181.09, 322.27), (182.13, 324.86), (184.2, 327.63), (182.99, 334.71), (183.16, 336.09), (188.0, 336.0), (189.0, 333.0), (189.9, 324.52), (188.69, 320.54), (188.0, 315.36), (191.46, 313.46), (191.29, 310.0)]]"
269,770_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf037_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/770_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf037_0.jpg,"[[(151.84, 310.11), (148.85, 310.36), (147.85, 313.6), (144.36, 316.84), (143.11, 324.07), (144.86, 331.55), (147.85, 332.55), (154.58, 327.06), (154.08, 324.32), (151.84, 319.58), (153.83, 317.09), (155.83, 312.6)]]"
270,771_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf037_11.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/771_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf037_11.jpg,"[[(895.11, 295.88), (890.63, 295.88), (888.53, 298.87), (888.53, 303.36), (883.75, 305.75), (883.15, 321.31), (883.75, 328.49), (881.65, 345.55), (881.0, 351.0), (885.24, 352.13), (896.61, 351.23), (897.51, 327.3), (898.11, 308.15), (896.61, 302.46), (897.51, 298.27)]]"
272,773_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf037_2.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/773_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf037_2.jpg,"[[(709.35, 323.82), (707.1, 324.69), (706.92, 326.07), (703.98, 327.11), (702.42, 334.73), (701.56, 342.69), (699.3, 350.31), (700.52, 351.7), (711.94, 351.7), (710.73, 347.19), (709.52, 339.06), (710.39, 333.17), (713.16, 332.65), (713.85, 330.57), (710.73, 330.23), (709.69, 328.49), (711.25, 325.55)], [(136.42, 319.61), (137.97, 322.9), (140.05, 327.23), (141.09, 332.25), (140.92, 337.79), (143.51, 342.99), (143.17, 345.24), (140.22, 344.54), (138.67, 348.35), (139.19, 353.37), (139.01, 357.53), (134.34, 355.97), (132.61, 351.82), (132.78, 341.95), (131.22, 335.19), (129.32, 331.91), (129.0, 329.0), (130.01, 326.02), (130.35, 321.86), (133.3, 319.44)], [(110.05, 313.64), (110.22, 317.79), (109.7, 320.39), (108.49, 321.78), (110.05, 325.76), (110.05, 333.72), (109.35, 337.88), (107.28, 338.4), (105.2, 352.94), (101.56, 352.42), (99.66, 349.83), (99.31, 345.32), (101.91, 340.65), (99.48, 336.84), (98.97, 333.2), (98.45, 328.7), (98.45, 325.07), (100.18, 320.56), (103.47, 319.35), (103.12, 316.58), (104.16, 313.99), (107.0, 313.0)]]"
