,name,path,drum
56,557_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_61.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/557_f0b549ec6900c651d8b1e106fcb7a2ab8549d7835e1f0895ec303d7b6fe450123471298b1812871284726642a3c91f1af0c012f05c22a3112584465e2a643e65_61.jpg,"[[(186.6, 252.26), (188.21, 227.74), (200.27, 226.93), (199.87, 252.67)], [(230.03, 240.2), (230.43, 222.11), (240.48, 222.11), (239.68, 240.6)], [(15.85, 311.49), (18.0, 262.0), (37.0, 259.0), (43.06, 303.97)], [(254.15, 233.77), (255.76, 215.67), (264.61, 214.87), (263.4, 234.17)]]"
57,558_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_10.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/558_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_10.jpg,"[[(576.91, 302.46), (581.25, 260.0), (599.11, 257.1), (599.59, 303.43)], [(435.54, 230.57), (436.5, 214.64), (445.19, 213.2), (445.67, 230.57)], [(403.21, 223.33), (403.69, 208.37), (410.93, 207.89), (412.86, 222.85)], [(502.61, 241.67), (505.5, 223.81), (515.15, 223.81), (515.63, 243.59)]]"
58,559_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_33.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/559_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_33.jpg,"[[(539.45, 372.06), (551.03, 363.37), (567.82, 300.84), (575.93, 295.05), (597.35, 296.21), (599.09, 300.26), (594.46, 363.37), (604.88, 378.43), (594.46, 385.38), (560.29, 384.8), (543.5, 381.32)]]"
59,560_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_43.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/560_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_43.jpg,"[[(318.09, 252.43), (322.15, 272.7), (338.94, 271.54), (341.25, 247.22), (328.52, 240.28)], [(682.87, 386.19), (689.24, 375.76), (700.24, 376.34), (715.3, 313.81), (738.46, 306.28), (748.88, 319.6), (737.3, 382.71), (745.4, 397.19), (736.14, 408.77), (695.61, 404.71), (683.45, 399.5)], [(16.58, 231.54), (17.93, 217.13), (25.97, 217.13), (24.96, 233.88)]]"
60,561_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_74.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/561_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_74.jpg,"[[(448.08, 245.37), (451.56, 225.1), (461.98, 225.68), (461.98, 248.27)], [(613.68, 327.01), (622.94, 325.27), (629.89, 275.48), (646.68, 270.27), (655.37, 277.79), (650.16, 331.06), (662.32, 332.8), (662.32, 341.49), (634.52, 337.43), (614.26, 334.54)]]"
75,576_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_14.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/576_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_14.jpg,"[[(671.87, 343.92), (668.4, 330.6), (675.92, 323.65), (679.98, 290.07), (703.72, 290.65), (707.77, 354.34), (674.76, 351.45)], [(596.6, 309.18), (598.91, 275.59), (618.6, 273.28), (622.07, 310.91)], [(572.28, 302.81), (576.91, 272.12), (594.86, 272.12), (595.44, 305.7)]]"
77,578_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_39.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/578_f56b2fee0fe5c1512abc85c6526b32283821119972c136d986b59f03a9c6deaa9150e6735bf7ac5ec3b785bb46d51fb82aee2095896460b11315f153fec18291_39.jpg,"[[(703.71, 357.24), (717.03, 301.65), (745.4, 303.39), (735.56, 365.34)], [(574.6, 310.91), (591.97, 285.44), (609.92, 291.81), (594.86, 319.02), (585.02, 320.18)], [(554.33, 304.54), (561.86, 274.44), (580.97, 279.65), (575.17, 306.86)]]"
78,579_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/579_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_0.jpg,"[[(694.24, 227.7), (695.85, 207.99), (703.49, 208.4), (703.49, 229.71)], [(707.0, 239.0), (708.72, 211.21), (717.16, 210.81), (717.56, 238.95)], [(169.51, 220.06), (171.52, 199.95), (181.0, 201.0), (179.97, 221.26)], [(487.98, 230.43), (491.45, 230.43), (495.5, 199.17), (508.82, 198.59), (507.66, 232.17), (505.35, 235.64), (493.77, 235.06)], [(504.77, 237.96), (507.08, 207.85), (523.3, 207.27), (528.51, 239.12), (526.0, 244.0), (502.0, 244.0)], [(398.81, 239.7), (404.02, 238.54), (406.34, 203.8), (425.44, 201.48), (426.02, 234.48), (432.97, 239.7), (430.65, 244.33), (406.34, 244.91)], [(576.03, 229.3), (578.44, 226.49), (580.45, 203.57), (588.89, 199.15), (592.92, 203.57), (593.32, 229.3), (598.14, 230.51), (596.13, 232.92), (579.24, 232.92)], [(621.87, 238.95), (624.68, 236.54), (624.68, 209.2), (636.74, 207.59), (639.56, 238.15), (643.58, 239.76), (642.37, 242.17), (630.31, 242.57)], [(651.22, 228.5), (654.03, 227.7), (654.03, 207.19), (661.27, 206.39), (664.49, 228.1), (667.3, 230.51), (654.03, 232.12)]]"
79,580_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_70.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/580_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_70.jpg,"[[(495.0, 223.0), (496.66, 204.19), (503.25, 203.61), (503.64, 225.13)], [(499.56, 226.28), (501.57, 222.59), (501.91, 206.17), (511.29, 206.17), (511.96, 223.59), (513.97, 227.28), (506.26, 228.29)], [(544.46, 219.24), (544.0, 206.0), (535.0, 206.0), (534.41, 222.59)], [(511.29, 232.98), (513.64, 226.28), (514.31, 209.19), (525.36, 208.18), (526.03, 230.97), (527.37, 235.99), (516.65, 235.66)], [(589.88, 251.28), (594.51, 248.96), (596.25, 222.33), (608.41, 222.33), (610.15, 251.28), (610.73, 254.75), (600.3, 257.07)], [(586.01, 239.68), (583.0, 215.55), (570.93, 214.88), (567.58, 242.69)], [(561.0, 232.0), (559.21, 211.2), (551.5, 209.52), (546.0, 232.0)], [(589.3, 308.6), (597.99, 306.86), (604.94, 250.12), (614.2, 250.7), (619.99, 241.43), (624.62, 241.43), (625.78, 248.96), (632.15, 253.01), (629.25, 312.65), (625.78, 319.6), (602.62, 320.18)], [(636.0, 275.0), (639.0, 232.0), (660.0, 235.0), (659.0, 277.0)], [(526.63, 248.76), (531.46, 247.79), (535.32, 220.29), (548.35, 220.29), (549.79, 247.79), (554.62, 252.62), (548.83, 253.58), (530.49, 253.58)], [(548.19, 269.23), (558.62, 262.86), (559.77, 228.69), (578.88, 230.43), (579.46, 266.91), (586.41, 270.38), (581.78, 274.44), (558.62, 276.17)], [(494.28, 214.41), (494.56, 198.49), (477.0, 197.0), (476.13, 205.47), (489.81, 217.48)]]"
80,581_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_77.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/581_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_77.jpg,"[[(445.0, 211.0), (445.49, 198.08), (450.92, 198.08), (454.0, 212.0)], [(417.57, 208.74), (418.15, 197.69), (424.55, 198.08), (423.38, 210.1)], [(420.0, 212.0), (421.83, 197.89), (427.45, 197.89), (427.65, 213.2)], [(425.32, 215.53), (426.1, 202.15), (432.88, 201.96), (434.63, 217.08), (425.9, 217.47)], [(434.82, 221.74), (436.76, 203.7), (443.94, 203.7), (446.07, 221.35), (448.0, 225.0), (434.0, 224.0)], [(456.0, 240.0), (458.73, 235.93), (460.67, 212.27), (471.53, 211.3), (473.08, 237.09), (473.66, 240.78), (465.33, 241.55)], [(639.0, 295.0), (647.78, 242.01), (658.78, 238.54), (668.05, 238.54), (666.89, 299.33)], [(512.0, 280.0), (519.0, 228.0), (534.3, 226.96), (537.77, 229.27), (541.24, 231.59), (544.14, 279.07), (531.0, 285.0)], [(473.0, 253.0), (474.1, 218.81), (489.38, 216.0), (495.41, 252.59)], [(633.31, 377.5), (653.57, 290.65), (659.94, 288.33), (660.52, 284.86), (680.79, 282.54), (683.68, 288.91), (687.73, 292.97), (674.42, 383.29)], [(564.41, 262.28), (566.72, 222.9), (577.14, 219.43), (584.09, 222.9), (586.99, 263.44)], [(524.99, 227.36), (525.77, 212.43), (535.85, 211.46), (539.92, 213.59), (539.53, 229.49)]]"
83,584_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_11.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/584_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_11.jpg,"[[(469.27, 330.14), (477.38, 324.93), (479.12, 286.13), (499.38, 285.55), (502.86, 326.66), (508.65, 328.98), (501.7, 334.19), (477.96, 334.19)]]"
84,585_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_18.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/585_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_18.jpg,"[[(421.4, 286.81), (422.52, 281.23), (422.8, 265.31), (431.45, 264.75), (433.69, 282.07), (437.32, 289.33), (423.36, 289.33)]]"
85,586_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_3.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/586_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_3.jpg,"[[(502.44, 305.02), (503.25, 303.81), (506.06, 275.26), (517.32, 273.66), (520.54, 277.68), (522.15, 305.42), (527.37, 309.04), (499.23, 310.25)]]"
86,587_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_41.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/587_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_41.jpg,"[[(235.92, 265.55), (235.44, 250.11), (246.54, 249.14), (247.5, 266.51)], [(426.03, 291.6), (427.0, 270.37), (439.54, 268.93), (440.02, 286.3), (434.23, 293.05)], [(669.22, 367.36), (670.18, 326.83), (674.52, 325.86), (676.94, 319.11), (700.58, 319.11), (703.47, 323.93), (710.0, 329.0), (709.0, 383.0)], [(178.36, 277.76), (180.29, 260.39), (189.46, 260.39), (193.32, 276.31), (187.53, 280.17)]]"
87,588_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_56.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/588_241dbe6892317a443d112ba7f3fd8e23c26e355e9c2cbce3c095185dfe815b86afa6e3d35cb79d49a33c020b849764d1064744f4f3a6070a279959af142c057b_56.jpg,"[[(590.1, 336.38), (592.51, 323.51), (596.53, 306.22), (597.74, 284.91), (616.64, 284.91), (617.04, 293.36), (619.86, 337.19), (599.75, 338.39)]]"
88,589_ce1eb9fd4616c4d8e31b7d2dbb5632adbbd2210ae70fd89ebce15dd71d0850f165e54b5e8ba8c08b67d8fac915e930dc4067aa079df7f14dfefd7de67e6310eb_3.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/589_ce1eb9fd4616c4d8e31b7d2dbb5632adbbd2210ae70fd89ebce15dd71d0850f165e54b5e8ba8c08b67d8fac915e930dc4067aa079df7f14dfefd7de67e6310eb_3.jpg,"[[(171.6, 356.08), (175.08, 305.12), (199.4, 303.39), (208.66, 307.44), (205.77, 349.13), (219.66, 352.6), (216.77, 361.87), (171.03, 364.76)], [(535.8, 306.86), (538.7, 302.81), (542.17, 279.07), (557.8, 279.65), (557.23, 303.39), (561.28, 310.91), (546.8, 312.07)]]"
89,590_ce1eb9fd4616c4d8e31b7d2dbb5632adbbd2210ae70fd89ebce15dd71d0850f165e54b5e8ba8c08b67d8fac915e930dc4067aa079df7f14dfefd7de67e6310eb_31.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/590_ce1eb9fd4616c4d8e31b7d2dbb5632adbbd2210ae70fd89ebce15dd71d0850f165e54b5e8ba8c08b67d8fac915e930dc4067aa079df7f14dfefd7de67e6310eb_31.jpg,"[[(23.24, 423.03), (30.74, 413.03), (27.41, 345.49), (65.76, 343.82), (70.76, 407.19), (89.94, 425.53), (71.6, 433.87), (44.08, 433.87)], [(178.32, 328.82), (184.99, 325.48), (182.49, 291.3), (205.0, 288.79), (210.0, 324.65), (221.67, 331.32), (199.16, 337.99)], [(594.8, 327.59), (600.01, 289.95), (619.7, 289.95), (616.81, 332.22)]]"
90,591_ce1eb9fd4616c4d8e31b7d2dbb5632adbbd2210ae70fd89ebce15dd71d0850f165e54b5e8ba8c08b67d8fac915e930dc4067aa079df7f14dfefd7de67e6310eb_40.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/591_ce1eb9fd4616c4d8e31b7d2dbb5632adbbd2210ae70fd89ebce15dd71d0850f165e54b5e8ba8c08b67d8fac915e930dc4067aa079df7f14dfefd7de67e6310eb_40.jpg,"[[(656.0, 317.0), (662.61, 277.91), (681.71, 273.86), (685.19, 318.44)], [(340.1, 460.3), (350.52, 453.35), (350.52, 368.82), (399.73, 363.6), (409.0, 443.51), (424.05, 453.35), (424.63, 462.04), (408.42, 470.14), (382.36, 473.04), (347.04, 471.3)], [(459.37, 447.56), (468.64, 442.93), (483.11, 365.92), (488.9, 364.76), (492.96, 360.71), (522.48, 358.97), (526.54, 366.5), (534.07, 366.5), (534.64, 444.09), (541.01, 447.56), (542.75, 455.67), (540.43, 467.83), (516.12, 472.46), (481.95, 472.46), (463.43, 464.35)], [(114.28, 330.02), (115.44, 293.54), (136.28, 293.54), (140.92, 334.07)], [(206.34, 296.44), (204.61, 272.7), (220.82, 272.12), (224.29, 297.6)], [(359.2, 292.39), (359.78, 261.12), (377.73, 266.33), (378.89, 294.12)], [(451.0, 286.0), (456.28, 262.92), (469.96, 264.93), (472.37, 284.23), (460.31, 286.64)], [(573.29, 281.82), (574.9, 259.3), (587.0, 259.0), (587.37, 282.62)]]"
91,592_ce1eb9fd4616c4d8e31b7d2dbb5632adbbd2210ae70fd89ebce15dd71d0850f165e54b5e8ba8c08b67d8fac915e930dc4067aa079df7f14dfefd7de67e6310eb_51.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/592_ce1eb9fd4616c4d8e31b7d2dbb5632adbbd2210ae70fd89ebce15dd71d0850f165e54b5e8ba8c08b67d8fac915e930dc4067aa079df7f14dfefd7de67e6310eb_51.jpg,"[[(453.58, 294.7), (456.48, 272.7), (468.64, 273.86), (469.79, 296.44)], [(140.0, 400.0), (146.71, 390.24), (151.34, 330.02), (176.82, 324.81), (183.76, 334.07), (188.4, 385.61), (200.55, 393.13), (197.08, 397.77), (168.71, 405.29)], [(593.7, 389.66), (597.76, 375.18), (603.55, 330.02), (607.02, 329.44), (610.49, 325.39), (618.02, 324.23), (622.65, 332.34), (629.6, 334.07), (633.08, 386.19), (639.45, 392.55), (624.39, 400.66), (603.55, 401.24)]]"
92,593_6362a00b3b932115dfbd1eb60abe38a7df9f9ea296f0d147d9490fe134281db3c98d0a3d43a7273545fde1bdeebf149822d58b7706ad683639751ec67d03fc01_2.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/593_6362a00b3b932115dfbd1eb60abe38a7df9f9ea296f0d147d9490fe134281db3c98d0a3d43a7273545fde1bdeebf149822d58b7706ad683639751ec67d03fc01_2.jpg,"[[(553.0, 480.0), (557.73, 443.46), (584.27, 440.64), (583.47, 480.0)], [(439.12, 438.23), (439.52, 422.55), (450.78, 421.34), (453.19, 439.03)], [(419.01, 429.38), (418.61, 418.93), (428.26, 418.53), (427.86, 430.59)]]"
