,name,path,machine
68,569_5ba4ae3c9b9b3817dc6fe71941e36d1a47bf1066ba2da6b0d1331835ff737f1547c4fd954b78046c32a2619de6753bffb21c855ea378fb64ecd89a0e95a426ce_20.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/569_5ba4ae3c9b9b3817dc6fe71941e36d1a47bf1066ba2da6b0d1331835ff737f1547c4fd954b78046c32a2619de6753bffb21c855ea378fb64ecd89a0e95a426ce_20.jpg,"[[(478.0, 157.0), (486.12, 146.84), (506.22, 147.24), (511.85, 150.45), (513.06, 117.89), (520.3, 119.9), (540.4, 140.8), (546.84, 152.06), (552.46, 163.32), (551.66, 172.97), (542.01, 174.18), (539.2, 167.34), (541.61, 162.11), (541.61, 156.89), (535.17, 147.24), (519.09, 130.75), (520.3, 150.45), (522.71, 188.25), (500.6, 187.04), (480.09, 184.23)]]"
69,570_5ba4ae3c9b9b3817dc6fe71941e36d1a47bf1066ba2da6b0d1331835ff737f1547c4fd954b78046c32a2619de6753bffb21c855ea378fb64ecd89a0e95a426ce_43.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/570_5ba4ae3c9b9b3817dc6fe71941e36d1a47bf1066ba2da6b0d1331835ff737f1547c4fd954b78046c32a2619de6753bffb21c855ea378fb64ecd89a0e95a426ce_43.jpg,"[[(613.92, 245.67), (619.23, 222.51), (622.61, 202.73), (631.29, 194.04), (644.32, 196.45), (647.7, 175.71), (655.9, 169.92), (656.38, 153.51), (669.89, 144.83), (689.67, 133.24), (713.8, 118.29), (717.18, 120.7), (716.69, 245.67), (703.67, 244.7), (705.6, 147.24), (690.16, 167.99), (689.67, 187.77), (689.67, 218.65), (688.71, 237.95), (688.23, 259.18), (680.99, 272.21), (679.54, 281.86), (665.55, 280.41), (663.62, 268.35), (663.14, 252.91), (648.18, 246.15), (640.94, 244.7), (640.94, 254.84), (625.5, 256.77)]]"
70,571_5ba4ae3c9b9b3817dc6fe71941e36d1a47bf1066ba2da6b0d1331835ff737f1547c4fd954b78046c32a2619de6753bffb21c855ea378fb64ecd89a0e95a426ce_68.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/571_5ba4ae3c9b9b3817dc6fe71941e36d1a47bf1066ba2da6b0d1331835ff737f1547c4fd954b78046c32a2619de6753bffb21c855ea378fb64ecd89a0e95a426ce_68.jpg,"[[(625.84, 287.6), (634.52, 274.57), (640.31, 250.93), (642.24, 239.83), (692.91, 249.96), (723.79, 231.63), (713.17, 231.63), (712.69, 227.77), (722.82, 224.87), (752.0, 223.43), (751.0, 331.0), (706.9, 328.61), (690.98, 328.13), (679.4, 324.27), (667.33, 304.97), (665.4, 293.87), (650.93, 296.28), (630.18, 293.87)]]"
72,573_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_22.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/573_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_22.jpg,"[[(448.56, 230.23), (471.08, 231.03), (471.48, 215.75), (478.72, 213.74), (477.11, 201.28), (465.45, 196.45), (459.82, 193.64), (457.41, 176.35), (454.6, 167.91), (453.79, 157.05), (448.56, 155.44), (445.35, 159.86), (443.34, 174.34), (442.13, 181.98), (432.88, 181.58), (432.88, 188.01), (431.68, 197.26), (429.26, 205.7), (426.45, 211.73), (425.65, 219.77)]]"
73,574_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_48.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/574_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_48.jpg,"[[(222.03, 215.71), (230.07, 237.02), (268.27, 236.22), (268.67, 216.92), (273.9, 214.91), (273.09, 196.82), (253.39, 191.19), (251.78, 159.82), (245.75, 144.54), (236.5, 146.15), (237.71, 179.93), (220.42, 178.72), (219.21, 189.98), (218.81, 209.68)]]"
74,575_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_83.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/575_581e6ad3692a1d0318e42d01db5992f084727263fbce80d18e60390f10c3618222e7d66ae9c344d0acb68091deb52a84a6f4b322c5a3ed5f815aaea26210b477_83.jpg,"[[(582.0, 309.0), (578.07, 338.71), (578.07, 368.82), (517.85, 374.61), (439.69, 305.12), (446.06, 278.49), (455.32, 272.12), (481.38, 268.65), (479.64, 251.86), (481.95, 217.69), (486.01, 163.27), (533.49, 163.27), (527.7, 139.53), (514.38, 141.26), (506.27, 139.53), (501.64, 136.63), (490.64, 125.63), (484.27, 112.89), (497.59, 107.1), (501.64, 100.15), (529.43, 105.94), (554.33, 121.0), (561.86, 132.58), (568.81, 143.0), (574.6, 170.21), (581.54, 184.11), (585.6, 212.48), (643.5, 215.96), (697.93, 232.75), (689.82, 293.54), (701.4, 302.81), (706.61, 314.39), (701.4, 348.55), (680.55, 358.39), (661.45, 360.13), (653.34, 361.29), (652.76, 303.97)]]"
111,612_9fae835108dcbf7059e9cd100c7f539d68f6d3102d4db7551b1bb37ada341686f4c67d7f4c5daceb5992f482cf1fe6872a6ff44161f95e9046d30d76bac962ed_45.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/612_9fae835108dcbf7059e9cd100c7f539d68f6d3102d4db7551b1bb37ada341686f4c67d7f4c5daceb5992f482cf1fe6872a6ff44161f95e9046d30d76bac962ed_45.jpg,"[[(137.0, 229.0), (136.0, 208.0), (147.2, 207.23), (148.59, 192.11), (149.06, 188.85), (156.97, 187.22), (157.67, 183.73), (170.23, 181.17), (172.56, 180.7), (173.49, 184.43), (176.28, 184.2), (182.33, 175.35), (189.31, 168.37), (196.06, 162.79), (200.95, 159.06), (205.6, 152.32), (209.79, 155.34), (221.19, 151.39), (223.05, 146.73), (227.24, 144.17), (232.6, 151.39), (236.32, 158.13), (240.04, 165.81), (240.51, 176.52), (241.44, 183.73), (242.37, 193.04), (242.37, 196.06), (232.83, 196.76), (229.8, 185.36), (226.31, 174.66), (223.99, 168.14), (218.63, 168.14), (211.42, 172.1), (207.0, 175.35), (201.88, 182.57), (200.95, 189.78), (200.48, 200.25), (187.45, 202.35), (169.07, 204.21), (156.97, 205.84), (157.44, 225.85), (158.6, 249.35), (153.25, 250.51), (145.8, 250.51), (140.91, 249.58), (140.91, 244.46), (141.15, 236.32), (146.03, 231.9), (152.32, 230.73), (151.85, 228.87)]]"
113,614_41203bebfe2e9e2692024f2e6778884065c7609cace830abd6bd37c9a828d722b3aadeec07a7b0cd969ea6d19eb6f6c4583ccc72439cbe2ea3cf4eafec3ec3b0_13.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/614_41203bebfe2e9e2692024f2e6778884065c7609cace830abd6bd37c9a828d722b3aadeec07a7b0cd969ea6d19eb6f6c4583ccc72439cbe2ea3cf4eafec3ec3b0_13.jpg,"[[(227.0, 96.0), (231.9, 92.98), (239.58, 91.58), (253.07, 91.58), (255.63, 87.16), (261.22, 82.74), (267.73, 79.25), (280.3, 80.18), (288.21, 81.58), (294.03, 79.95), (297.28, 80.88), (296.82, 87.86), (299.61, 91.82), (297.75, 98.33), (296.0, 107.0), (295.19, 112.06), (296.0, 115.0), (295.0, 118.0), (290.07, 119.04), (284.95, 118.58), (283.79, 115.32), (287.98, 110.66), (287.98, 98.33), (289.84, 90.42), (281.93, 90.19), (261.91, 90.65), (269.36, 91.58), (274.71, 92.28), (277.27, 95.31), (275.64, 99.03), (274.48, 102.75), (273.08, 104.85), (274.95, 108.8), (277.04, 112.53), (277.74, 114.85), (268.9, 118.34), (260.29, 118.81), (251.68, 118.81), (251.68, 116.02), (248.42, 117.65), (245.63, 119.74), (241.67, 120.67), (230.27, 121.83), (225.85, 121.6), (225.15, 117.65), (226.08, 115.55), (227.71, 113.69), (226.55, 112.29)]]"
118,619_78bb0924d03db74b1dc2ada4d6d7fe176e2e669c21111224825824165f7c164ce9572f4395ae346660e83c85f16cbe70e3931407edbe12c783bf30e0dabfb820_43.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/619_78bb0924d03db74b1dc2ada4d6d7fe176e2e669c21111224825824165f7c164ce9572f4395ae346660e83c85f16cbe70e3931407edbe12c783bf30e0dabfb820_43.jpg,"[[(223.29, 243.74), (232.83, 231.41), (237.0, 233.0), (244.0, 242.0), (248.19, 244.44), (247.25, 252.12), (250.05, 258.63), (235.15, 262.59)]]"
119,620_78bb0924d03db74b1dc2ada4d6d7fe176e2e669c21111224825824165f7c164ce9572f4395ae346660e83c85f16cbe70e3931407edbe12c783bf30e0dabfb820_66.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/620_78bb0924d03db74b1dc2ada4d6d7fe176e2e669c21111224825824165f7c164ce9572f4395ae346660e83c85f16cbe70e3931407edbe12c783bf30e0dabfb820_66.jpg,"[[(167.38, 243.2), (184.08, 231.89), (191.08, 226.63), (207.51, 227.17), (207.92, 237.94), (211.82, 238.35), (211.82, 248.85), (212.76, 253.16), (212.63, 259.49), (213.17, 269.72), (209.13, 272.82), (194.18, 275.25), (175.33, 274.3), (176.0, 267.97), (173.17, 265.28), (172.1, 262.45), (164.0, 261.0)]]"
120,621_9ae9dcbed786018cab38469ec3f64cedf737d6b21b585946cc0fe4a4b5f6ada341bbc31b845af61cf951162976e6f97d8da401fe54271036d96103bd61baff8d_30.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/621_9ae9dcbed786018cab38469ec3f64cedf737d6b21b585946cc0fe4a4b5f6ada341bbc31b845af61cf951162976e6f97d8da401fe54271036d96103bd61baff8d_30.jpg,"[[(94.0, 252.0), (101.49, 247.05), (104.0, 237.84), (114.61, 238.67), (119.36, 238.67), (126.62, 243.7), (130.25, 248.45), (129.69, 252.91), (130.53, 254.87), (128.29, 256.54), (126.62, 264.92), (114.0, 266.0), (106.51, 266.6), (91.16, 266.32), (92.55, 260.17)], [(170.18, 256.29), (174.92, 255.18), (176.88, 245.96), (182.46, 244.56), (186.37, 249.59), (188.33, 236.47), (191.68, 235.91), (192.8, 245.96), (201.17, 246.52), (202.29, 251.27), (203.13, 255.18), (203.13, 260.76), (201.73, 262.71), (199.22, 262.16), (198.66, 259.08), (195.31, 259.08), (195.03, 262.44), (191.96, 264.11), (191.68, 259.64), (184.7, 259.92), (179.11, 261.32), (171.29, 262.44)], [(496.0, 263.0), (522.92, 264.44), (526.99, 257.84), (523.5, 252.99), (518.46, 252.99), (517.49, 244.46), (505.46, 244.07), (496.93, 245.24)]]"
121,622_9ae9dcbed786018cab38469ec3f64cedf737d6b21b585946cc0fe4a4b5f6ada341bbc31b845af61cf951162976e6f97d8da401fe54271036d96103bd61baff8d_42.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/622_9ae9dcbed786018cab38469ec3f64cedf737d6b21b585946cc0fe4a4b5f6ada341bbc31b845af61cf951162976e6f97d8da401fe54271036d96103bd61baff8d_42.jpg,"[[(582.0, 261.0), (603.91, 257.77), (630.38, 262.8), (644.78, 263.8), (642.44, 244.7), (639.42, 234.99), (627.03, 232.31), (620.66, 225.61), (612.28, 223.59), (602.9, 244.03), (596.2, 246.04), (581.46, 247.39)]]"
123,624_597eb8386133a3da5a965bdf45b981a342be1e553ad20a6c6d19ac618b23bca6495cd55f5a57082121c3926af48b174870bff09e1709c0cc70060b13f4cb9a11_106.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/624_597eb8386133a3da5a965bdf45b981a342be1e553ad20a6c6d19ac618b23bca6495cd55f5a57082121c3926af48b174870bff09e1709c0cc70060b13f4cb9a11_106.jpg,"[[(583.0, 250.0), (602.85, 244.52), (604.5, 233.19), (604.5, 225.64), (617.49, 223.28), (623.15, 231.78), (637.55, 233.67), (639.2, 240.04), (639.0, 249.0), (637.55, 261.76), (613.47, 264.59), (593.0, 260.0), (582.79, 260.1)]]"
125,626_597eb8386133a3da5a965bdf45b981a342be1e553ad20a6c6d19ac618b23bca6495cd55f5a57082121c3926af48b174870bff09e1709c0cc70060b13f4cb9a11_94.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/626_597eb8386133a3da5a965bdf45b981a342be1e553ad20a6c6d19ac618b23bca6495cd55f5a57082121c3926af48b174870bff09e1709c0cc70060b13f4cb9a11_94.jpg,"[[(92.66, 266.7), (92.66, 260.82), (93.48, 251.26), (100.59, 249.89), (102.64, 244.16), (103.46, 238.69), (115.0, 239.0), (116.02, 238.01), (120.26, 238.01), (121.35, 242.79), (124.9, 244.29), (128.73, 245.39), (130.64, 249.76), (131.87, 254.13), (129.0, 255.63), (128.86, 261.51), (134.05, 267.24), (135.56, 272.43), (135.42, 277.35), (134.46, 279.26), (126.4, 275.71), (119.71, 268.34), (101.0, 266.56)], [(176.14, 253.41), (177.55, 245.19), (185.77, 244.63), (188.32, 236.7), (191.43, 236.7), (192.85, 246.33), (201.35, 246.04), (202.48, 261.06), (192.0, 261.91), (180.1, 264.17), (171.04, 263.61), (170.75, 255.96), (175.0, 255.68)]]"
128,629_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_48.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/629_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_48.jpg,"[[(156.25, 214.99), (161.63, 212.54), (162.61, 201.77), (175.34, 203.24), (182.0, 219.0), (155.27, 223.31)]]"
147,648_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_77.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/648_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_77.jpg,"[[(415.24, 241.89), (412.45, 243.0), (411.62, 246.06), (413.57, 250.79), (419.13, 251.07), (425.54, 249.12), (428.32, 251.07), (430.83, 249.96), (432.22, 244.39), (436.39, 239.38), (445.58, 238.82), (445.86, 244.11), (446.13, 248.84), (446.69, 251.07), (450.03, 251.63), (460.61, 250.24), (462.56, 246.9), (470.35, 244.67), (471.19, 223.24), (462.0, 222.4), (454.21, 223.24), (443.63, 225.18), (436.95, 225.18), (432.22, 224.35), (426.37, 224.91), (415.79, 224.63), (416.0, 229.0), (409.39, 226.85), (404.66, 230.47), (398.82, 232.7), (400.76, 237.15), (398.54, 241.61), (397.7, 249.12), (401.0, 251.0), (406.89, 251.63), (409.39, 246.9), (405.77, 238.55), (408.0, 236.88), (413.57, 236.88), (416.63, 237.15)]]"
148,649_5cdb4cd6aab7565a724615b792562915784a53824f8be86b15f5af6db1b6400ed4f9af7d939ffc81eaf596d7daca6fedd06c72d79b4f8a8a2df511e90117e9f8_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/649_5cdb4cd6aab7565a724615b792562915784a53824f8be86b15f5af6db1b6400ed4f9af7d939ffc81eaf596d7daca6fedd06c72d79b4f8a8a2df511e90117e9f8_0.jpg,"[[(355.26, 273.11), (364.76, 271.18), (370.72, 261.67), (375.88, 261.03), (376.36, 256.36), (411.48, 255.39), (412.93, 261.51), (421.46, 263.45), (426.62, 265.7), (426.78, 275.04), (425.33, 280.36), (427.42, 286.48), (426.94, 291.31), (417.76, 292.28), (415.99, 285.19), (394.4, 286.64), (389.57, 287.28), (388.6, 291.47), (382.48, 291.96), (378.94, 287.12), (378.94, 279.55), (362.35, 279.39), (360.9, 283.9), (359.45, 286.32), (355.26, 286.96), (353.65, 279.07)]]"
