,name,path,board
39,540_654f1af5ee324333a30d2043ff77be9610b568ad292b5122a5fe6ecff45775a102de888a98bcc57b484fc001d66056710a15ba7016f92695aab3c67f131ef400_28.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/540_654f1af5ee324333a30d2043ff77be9610b568ad292b5122a5fe6ecff45775a102de888a98bcc57b484fc001d66056710a15ba7016f92695aab3c67f131ef400_28.jpg,"[[(493.92, 218.49), (483.06, 218.89), (486.68, 180.29), (543.0, 185.0), (539.36, 222.51), (529.71, 222.51), (529.3, 230.95), (529.3, 256.28), (532.52, 255.48), (536.94, 262.32), (532.92, 264.33), (533.33, 272.77), (525.28, 274.38), (522.87, 265.53), (496.74, 263.52), (495.13, 271.56), (489.5, 270.76), (490.7, 256.28), (491.91, 253.47), (493.92, 225.32)]]"
59,560_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_43.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/560_c944d36dfec57bdcd664c5b872998bd35e68d0c046ae39d3a77681c91a5b8f1da37645f1b073ab0b8ab1aaf723701ac93f5a5ccfe6ffba290748904d7f4ffed0_43.jpg,"[[(523.64, 197.43), (505.11, 197.43), (503.38, 133.16), (609.92, 141.26), (606.44, 202.64), (586.18, 200.32), (585.02, 260.54), (603.55, 262.28), (612.23, 272.12), (622.07, 304.55), (616.28, 305.12), (610.49, 280.81), (605.28, 283.12), (601.23, 297.02), (589.07, 301.07), (573.44, 297.02), (569.96, 283.7), (549.7, 282.54), (535.8, 283.12), (541.59, 309.76), (534.07, 308.6), (532.33, 299.91), (524.22, 297.6), (517.85, 290.65), (513.22, 276.75), (525.96, 269.8), (523.64, 235.64)]]"
79,580_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_70.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/580_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_70.jpg,"[[(492.59, 167.15), (492.59, 186.74), (531.76, 187.9), (531.56, 167.15)]]"
80,581_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_77.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/581_63c4217e545a0eef3ab6dbd4060a1b79ccc56f3e026994dfe38ff212571c028bf5db02c6626431b1e697f609e6aded9876d35a64e9466eb4f237244901afcd09_77.jpg,"[[(450.69, 151.61), (450.97, 182.32), (509.05, 184.0), (509.05, 153.01), (496.77, 153.28), (496.21, 150.49), (491.74, 149.93), (492.3, 151.89), (466.33, 151.05), (465.77, 147.98), (462.14, 147.98), (462.42, 152.45)]]"
100,601_7a1ff0af1a5800f916bb24e2af61296a7100fbf699a198df308b49fbd849d8c4984df4f35a7b9dc65d73c92ef045e8201347652fb6bd7367f5aebf62d7c68315_39.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/601_7a1ff0af1a5800f916bb24e2af61296a7100fbf699a198df308b49fbd849d8c4984df4f35a7b9dc65d73c92ef045e8201347652fb6bd7367f5aebf62d7c68315_39.jpg,"[[(85.0, 399.0), (94.32, 392.67), (93.52, 377.8), (93.12, 367.74), (96.74, 369.75), (99.55, 388.25), (105.18, 389.46), (107.59, 392.67), (111.21, 390.66), (109.6, 378.6), (107.19, 359.7), (106.39, 345.63), (105.18, 337.19), (93.12, 336.38), (81.05, 337.19), (63.76, 336.78), (64.17, 322.31), (62.56, 300.6), (62.56, 292.55), (95.13, 290.14), (124.88, 287.73), (138.55, 286.12), (140.16, 316.28), (142.17, 335.17), (108.8, 336.78), (109.2, 357.29), (111.61, 376.59), (117.24, 375.79), (116.84, 368.55), (121.66, 368.55), (120.46, 374.98), (123.68, 375.38), (124.88, 387.85), (131.72, 390.66), (140.16, 391.87), (145.39, 397.1), (152.0, 411.0), (148.0, 417.0), (141.0, 418.0), (134.0, 418.0), (132.92, 411.17), (128.0, 406.0), (125.69, 403.93), (123.68, 411.97), (120.06, 417.6), (116.44, 417.6), (120.86, 409.16), (120.0, 404.0), (110.0, 407.0), (102.0, 406.0), (99.55, 411.57), (95.93, 416.0), (88.29, 416.8)]]"
109,610_9fae835108dcbf7059e9cd100c7f539d68f6d3102d4db7551b1bb37ada341686f4c67d7f4c5daceb5992f482cf1fe6872a6ff44161f95e9046d30d76bac962ed_10.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/610_9fae835108dcbf7059e9cd100c7f539d68f6d3102d4db7551b1bb37ada341686f4c67d7f4c5daceb5992f482cf1fe6872a6ff44161f95e9046d30d76bac962ed_10.jpg,"[[(133.0, 187.0), (160.83, 185.64), (160.0, 209.0), (133.0, 213.0)]]"
122,623_597eb8386133a3da5a965bdf45b981a342be1e553ad20a6c6d19ac618b23bca6495cd55f5a57082121c3926af48b174870bff09e1709c0cc70060b13f4cb9a11_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/623_597eb8386133a3da5a965bdf45b981a342be1e553ad20a6c6d19ac618b23bca6495cd55f5a57082121c3926af48b174870bff09e1709c0cc70060b13f4cb9a11_0.jpg,"[[(5.0, 192.0), (23.92, 190.29), (29.62, 191.96), (42.35, 190.96), (47.38, 188.95), (52.07, 191.29), (49.72, 197.66), (47.38, 213.74), (47.38, 226.14), (46.37, 248.26), (47.38, 253.62), (38.0, 254.0), (41.0, 266.0), (44.36, 278.41), (48.72, 287.8), (56.43, 288.47), (60.78, 288.8), (62.46, 285.45), (64.13, 288.47), (62.79, 293.16), (63.8, 302.2), (68.82, 305.55), (59.78, 312.26), (55.76, 303.88), (55.76, 300.86), (45.03, 300.86), (43.69, 304.21), (43.69, 310.25), (42.02, 315.61), (38.67, 318.62), (33.98, 315.27), (30.62, 312.26), (30.29, 305.55), (25.6, 305.55), (22.58, 306.89), (12.0, 308.0), (7.0, 304.0), (0.0, 299.0), (1.81, 287.8), (19.23, 286.79), (22.25, 285.45), (22.25, 253.95), (17.89, 250.94), (12.0, 251.0), (0.0, 250.0), (3.82, 210.06)], [(657.55, 221.79), (669.28, 221.12), (688.04, 223.13), (687.04, 226.14), (704.13, 228.49), (704.8, 239.88), (703.79, 269.7), (690.05, 271.04), (687.37, 271.04), (685.7, 283.44), (684.02, 302.54), (687.37, 302.54), (688.38, 298.52), (692.73, 299.19), (696.76, 302.54), (696.76, 307.9), (707.14, 307.23), (707.48, 309.58), (704.13, 313.6), (695.0, 314.0), (693.07, 316.95), (690.39, 317.95), (687.71, 317.95), (686.7, 311.59), (674.64, 310.58), (673.63, 316.95), (669.61, 320.63), (663.58, 317.62), (664.92, 312.59), (664.92, 306.56), (659.56, 305.55), (658.89, 302.87), (659.9, 297.51), (666.6, 297.85), (676.99, 296.84), (681.01, 296.84), (681.34, 276.74), (681.68, 276.74), (682.01, 271.38), (666.6, 270.71), (668.27, 237.2), (668.94, 224.47), (658.0, 225.0)]]"
126,627_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_24.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/627_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_24.jpg,"[[(155.0, 189.0), (170.35, 186.94), (204.12, 184.49), (205.1, 215.33), (181.0, 218.0), (155.0, 219.0)]]"
129,630_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_6.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/630_04810cfd2e2f3f1d15f8b03b2639dcd3530108620d69955e4ac3357174bc60d5a87b6ae922ff0d05f05b3b0125a9a055c172c7aa1f11e230075175820ee0f48a_6.jpg,"[[(315.15, 196.89), (321.75, 196.79), (322.04, 200.19), (320.35, 200.39), (319.54, 203.69), (319.35, 205.39), (318.04, 205.69), (318.0, 200.0), (314.85, 199.99)]]"
132,633_c0849f03b6f7671008cb4d2aac6e67ee06a231659eff851ecf498d127996a77df84ee21ef2381234d68b9ea67fb54309f8db11557000a5b6b6af5a4fca4a1bf2_35.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/633_c0849f03b6f7671008cb4d2aac6e67ee06a231659eff851ecf498d127996a77df84ee21ef2381234d68b9ea67fb54309f8db11557000a5b6b6af5a4fca4a1bf2_35.jpg,"[[(200.67, 143.16), (212.0, 144.58), (214.83, 142.88), (251.37, 142.31), (251.94, 144.3), (264.97, 143.73), (263.83, 170.07), (263.27, 179.7), (247.97, 180.84), (235.0, 181.0), (233.24, 184.24), (233.0, 195.0), (235.51, 195.28), (237.21, 207.46), (238.91, 204.35), (242.31, 208.88), (252.79, 208.6), (252.22, 214.55), (251.94, 218.51), (250.52, 222.48), (247.12, 225.59), (245.42, 222.19), (242.31, 219.93), (229.28, 221.06), (218.51, 221.63), (209.73, 220.78), (209.73, 224.46), (206.61, 225.31), (203.22, 223.89), (201.52, 219.08), (202.37, 210.86), (204.07, 208.31), (213.98, 208.03), (225.03, 208.03), (225.88, 202.93), (228.0, 200.0), (229.28, 190.47), (229.28, 183.67), (217.1, 182.25), (208.31, 182.25), (198.97, 181.69)]]"
143,644_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_0.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/644_d43ac5ff858410b4205b54776f2526b2739b6c9ddf1a9b930d71278833fe9e86dcf199ae975d5bbbc594603e489fb4b6b85a7892aaef410e38f0fc79291ccff7_0.jpg,"[[(146.92, 223.11), (152.87, 221.01), (168.66, 221.17), (167.86, 252.9), (171.72, 271.27), (176.71, 273.52), (177.36, 277.07), (177.36, 281.25), (173.33, 282.38), (167.21, 282.06), (166.08, 278.84), (155.29, 278.52), (156.42, 283.99), (156.42, 286.25), (152.23, 288.5), (148.69, 287.7), (147.72, 284.64), (139.99, 283.03), (139.99, 279.32), (144.18, 277.07), (148.36, 257.41), (144.98, 256.45)]]"
155,656_535321841b53df9fc7227256aefeac339e8d237b127c301365b6af7a01440f192ed114109208c4630868b5b7953f467b9f8088413fdfb466957dfa89612ed6dc_27.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/656_535321841b53df9fc7227256aefeac339e8d237b127c301365b6af7a01440f192ed114109208c4630868b5b7953f467b9f8088413fdfb466957dfa89612ed6dc_27.jpg,"[[(549.66, 113.98), (570.51, 114.38), (587.34, 116.38), (599.77, 118.79), (600.57, 141.63), (590.15, 144.04), (589.35, 156.46), (588.94, 162.08), (592.15, 164.88), (592.15, 172.5), (595.36, 175.7), (590.15, 178.51), (589.75, 185.32), (585.34, 184.92), (582.53, 177.31), (568.5, 177.71), (568.5, 185.32), (564.09, 185.72), (564.09, 177.71), (559.68, 177.71), (559.68, 184.92), (554.47, 185.32), (552.07, 176.1), (554.07, 167.69), (558.48, 165.68), (559.68, 152.06), (559.28, 142.44), (547.26, 141.23)]]"
170,671_7ee9b726e4ab4def75af55b9d93a13c9ec9a6354666be9c0b59ac43f653c7d9987474d16f4d8dc83c173be5119468cfd553087ecb4a6727d8d8e40d4ccb9adcb_4.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/671_7ee9b726e4ab4def75af55b9d93a13c9ec9a6354666be9c0b59ac43f653c7d9987474d16f4d8dc83c173be5119468cfd553087ecb4a6727d8d8e40d4ccb9adcb_4.jpg,"[[(591.26, 220.42), (615.1, 220.9), (630.68, 221.13), (630.21, 248.51), (611.33, 248.75), (612.03, 269.76), (619.35, 268.11), (621.24, 270.94), (625.96, 272.12), (628.09, 273.54), (626.91, 278.73), (622.18, 279.91), (619.82, 277.79), (612.51, 280.15), (609.0, 280.0), (597.64, 282.51), (597.16, 277.08), (591.97, 276.61), (591.97, 271.41), (594.33, 269.76), (594.33, 266.45), (598.34, 269.76), (605.0, 267.0), (605.0, 250.0), (591.0, 250.0)]]"
174,675_aa1a172968c151d248a0301163c04e79df2f4c1a0f9500ebf8eb8acd2eaf43a0cbe8e24bb81aeb43a149f7dbc2c409e59afae47b463c403d3f34d3f4913f07ec_14.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/675_aa1a172968c151d248a0301163c04e79df2f4c1a0f9500ebf8eb8acd2eaf43a0cbe8e24bb81aeb43a149f7dbc2c409e59afae47b463c403d3f34d3f4913f07ec_14.jpg,"[[(342.0, 114.0), (356.69, 114.07), (357.84, 123.57), (352.59, 124.23), (352.59, 126.53), (355.54, 128.33), (356.04, 132.26), (355.22, 133.57), (352.43, 132.59), (347.02, 132.59), (345.55, 134.07), (344.4, 133.57), (345.55, 127.02), (348.82, 125.54), (350.14, 121.77), (341.45, 121.94)]]"
175,676_aa1a172968c151d248a0301163c04e79df2f4c1a0f9500ebf8eb8acd2eaf43a0cbe8e24bb81aeb43a149f7dbc2c409e59afae47b463c403d3f34d3f4913f07ec_32.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/676_aa1a172968c151d248a0301163c04e79df2f4c1a0f9500ebf8eb8acd2eaf43a0cbe8e24bb81aeb43a149f7dbc2c409e59afae47b463c403d3f34d3f4913f07ec_32.jpg,"[[(302.14, 113.06), (314.58, 112.37), (333.06, 112.2), (333.94, 126.72), (327.2, 127.58), (326.49, 141.75), (328.06, 143.65), (329.43, 150.39), (329.43, 154.02), (325.45, 154.19), (325.12, 150.56), (310.07, 150.39), (309.73, 154.36), (306.27, 154.19), (307.14, 150.39), (308.0, 147.0), (308.36, 142.61), (309.0, 133.0), (307.67, 129.31), (302.82, 128.96)]]"
176,677_aa1a172968c151d248a0301163c04e79df2f4c1a0f9500ebf8eb8acd2eaf43a0cbe8e24bb81aeb43a149f7dbc2c409e59afae47b463c403d3f34d3f4913f07ec_43.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/677_aa1a172968c151d248a0301163c04e79df2f4c1a0f9500ebf8eb8acd2eaf43a0cbe8e24bb81aeb43a149f7dbc2c409e59afae47b463c403d3f34d3f4913f07ec_43.jpg,"[[(109.0, 99.0), (128.19, 96.37), (128.19, 94.74), (165.31, 91.48), (167.35, 94.74), (175.1, 93.11), (183.25, 92.29), (183.25, 132.67), (164.08, 136.75), (165.31, 149.81), (168.98, 151.44), (164.49, 160.0), (164.08, 184.07), (169.38, 183.25), (172.65, 188.56), (173.06, 194.27), (171.83, 199.16), (171.42, 204.06), (167.75, 207.32), (162.45, 204.06), (157.96, 204.87), (158.37, 213.44), (146.13, 213.03), (140.02, 209.77), (117.17, 207.73), (115.54, 211.81), (112.69, 212.62), (113.5, 196.31), (111.87, 190.6), (116.36, 184.48), (123.29, 170.61), (125.33, 164.9), (125.74, 152.66), (122.0, 135.0), (109.42, 134.71)]]"
208,709_1ea3ef8a918324bb1198066671e187862269dd56a7a3cf4ff494007eccede0f21a82b461ef04d8010ff42e403e5187910b77e4d0f70400a358c037f147efbbb8_28.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/709_1ea3ef8a918324bb1198066671e187862269dd56a7a3cf4ff494007eccede0f21a82b461ef04d8010ff42e403e5187910b77e4d0f70400a358c037f147efbbb8_28.jpg,"[[(128.0, 81.0), (181.0, 79.0), (179.48, 108.21), (168.35, 110.55), (168.06, 137.2), (171.87, 143.06), (175.0, 148.0), (171.28, 158.87), (156.35, 159.75), (123.85, 159.45), (124.14, 143.06), (128.24, 141.3), (129.41, 111.43), (132.93, 108.21), (125.61, 106.46)]]"
254,755_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf033_12.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/755_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf033_12.jpg,"[[(936.0, 272.0), (990.94, 272.43), (990.0, 299.0), (977.18, 299.35), (979.0, 349.0), (974.0, 349.0), (974.0, 341.0), (945.0, 341.0), (943.67, 347.52), (939.0, 347.0), (943.0, 299.0), (934.0, 298.0)]]"
255,756_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf033_22.jpg,../data/Delivery_1_Workzone/Day/Batch 1.2/Images/756_68b6ac79237bd5c3c95f07e70fc774b5f86cc1986386217c268e1616ff57117811c88ef54bb5ce20bc1c8029c99b18267c8711afe5626d512377b1a3e79a6954_nf033_22.jpg,"[[(773.0, 258.0), (851.57, 260.6), (852.0, 299.0), (830.07, 298.58), (832.22, 342.65), (840.46, 346.23), (840.46, 358.78), (839.39, 365.23), (832.94, 364.15), (831.86, 356.63), (827.56, 354.48), (791.01, 355.55), (790.3, 362.0), (786.71, 364.87), (783.49, 363.08), (784.21, 335.84), (784.92, 297.86), (771.67, 297.14)]]"
